run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,1,171,171,1.0,0.9011289717858297
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,2,170,170,1.0,0.7913549482822418
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,3,170,155,0.9117647058823529,0.7086407738573411
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,4,170,148,0.8705882352941177,0.6558270727886873
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,5,170,149,0.8764705882352941,0.6121061135740841
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,6,170,158,0.9294117647058824,0.571392038639854
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,7,170,156,0.9176470588235294,0.5273030607139363
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,8,170,164,0.9647058823529412,0.4778647340395871
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,9,170,160,0.9411764705882353,0.41229842690860524
sprint9_multiseed_S8A_R2_seed2024_S8A_R2_context_edge_film,S8A_R2_context_edge_film,10,171,102,0.5964912280701754,0.2762984730172576
