run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,1,171,171,1.0,0.9124283546592757
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,2,170,167,0.9823529411764705,0.83606337834807
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,3,170,166,0.9764705882352941,0.7738110261804917
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,4,170,169,0.9941176470588236,0.7476027439622318
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,5,170,167,0.9823529411764705,0.7272703847464393
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,6,170,167,0.9823529411764705,0.7091198847574346
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,7,170,170,1.0,0.6887038020526661
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,8,170,162,0.9529411764705882,0.6578509355292601
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,9,170,111,0.6529411764705882,0.5643969953060151
sprint9_multiseed_S8A_R2_seed123_S8A_R2_context_edge_film,S8A_R2_context_edge_film,10,171,83,0.4853801169590643,0.29577743031128106
