model_name,graph_schema,feature_set,split,rows,positives,negatives,positive_rate,auprc,auprc_inverted,auroc,auroc_inverted
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,test,1702,1533,169,0.900705052878966,0.9604320714849387,0.8250275587437867,0.7238427185740147,0.2761572814259853
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F0_seq,val,1734,1511,223,0.8713956170703575,0.8771015497806168,0.8702382186994767,0.4445723884339952,0.5554276115660047
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,test,1702,1533,169,0.900705052878966,0.9682031323477365,0.8304551586899067,0.7456509068732462,0.2543490931267538
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F1_mismatch,val,1734,1511,223,0.8713956170703575,0.9357721056995847,0.846365498473599,0.6259122192115814,0.37408778078841853
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,1702,1533,169,0.900705052878966,0.9765851745419742,0.7972521781367385,0.8177646028014837,0.18223539719851628
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,1734,1511,223,0.8713956170703575,0.9512837654950341,0.7875851297874403,0.7436556433686597,0.25634435663134025
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,1702,1533,169,0.900705052878966,0.967213963667432,0.8185719135657269,0.761677030380929,0.2383229696190708
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,1734,1511,223,0.8713956170703575,0.9673161503001502,0.757272950346668,0.8252337863144117,0.17476621368558817
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,1702,1533,169,0.900705052878966,0.9108662444662433,0.8833764442012868,0.5449596066034422,0.4550403933965578
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,1734,1511,223,0.8713956170703575,0.9584729965140961,0.7844868066159877,0.7711550275557718,0.22884497244422813
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,1702,1533,169,0.900705052878966,0.9090307854117675,0.8998240367484969,0.506268406689903,0.493731593310097
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,1734,1511,223,0.8713956170703575,0.9012168452115548,0.853879887641283,0.5776324888040766,0.4223675111959234
