model_name,graph_schema,feature_set,split,score_decile,rows,positive_rate,mean_score
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,7,170,0.8529411764705882,0.39467994027278
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,8,170,0.8705882352941177,0.31878530225333046
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,9,170,0.9,0.25348945286344077
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,test,10,171,0.6023391812865497,0.17043745866295887
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,1,173,0.9826589595375722,0.8036878980653135
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,2,173,0.9942196531791907,0.6545044976162773
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,3,174,0.9885057471264368,0.5218709626759606
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,4,173,0.9364161849710982,0.43033600284185025
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,5,174,0.9137931034482759,0.3832003916132039
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,6,173,0.838150289017341,0.3460710639553952
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,7,173,0.7803468208092486,0.30411502426070286
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,8,174,0.7528735632183908,0.2745550985651455
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,9,173,0.7514450867052023,0.24641164344859262
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F2_energy,val,10,174,0.7758620689655172,0.18555281032947288
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,1,170,1.0,0.9062638850773082
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,2,170,0.9823529411764705,0.7854175539577708
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,3,170,0.9764705882352941,0.6914215042310603
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,4,170,0.9882352941176471,0.5901633627274457
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,5,171,0.935672514619883,0.5099056251564918
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,6,170,0.9,0.4556914276936475
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,7,170,0.7823529411764706,0.3869111849981196
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,8,170,0.8411764705882353,0.3045109799679588
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,9,170,0.888235294117647,0.2331740190001095
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,test,10,171,0.7134502923976608,0.15170843849143786
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,1,173,0.9826589595375722,0.8763415127820362
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,2,173,0.9884393063583815,0.7184576161334969
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,3,174,0.9942528735632183,0.5516954958438873
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,4,173,0.9884393063583815,0.4571221963518617
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,5,174,0.9827586206896551,0.4081516582732913
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,6,173,0.9364161849710982,0.34131831964316395
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,7,173,0.7803468208092486,0.27315776506600353
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,8,174,0.7126436781609196,0.22880009835821458
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,9,173,0.7341040462427746,0.19564324660452803
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F3_experimental_epi,val,10,174,0.6149425287356322,0.15443907673845345
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,1,170,0.9117647058823529,0.9998430606196909
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,2,170,0.9352941176470588,0.9998166652286754
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,3,170,0.8941176470588236,0.9998013138771057
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,4,170,0.888235294117647,0.9997887415044447
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,5,171,0.9181286549707602,0.9997758115941321
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,6,170,0.9,0.9997632265090942
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,7,170,0.9294117647058824,0.9997479438781738
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,8,170,0.8941176470588236,0.999730805088492
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,9,170,0.8941176470588236,0.9997083190609427
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,test,10,171,0.8421052631578947,0.9996422738359686
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,1,173,1.0,0.9998440928541856
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,2,173,0.976878612716763,0.9998189596771505
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,3,174,0.9770114942528736,0.9998025065180899
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,4,173,0.9479768786127167,0.9997855269839998
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,5,174,0.9080459770114943,0.9997691032530247
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,6,173,0.930635838150289,0.9997530186796464
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,7,173,0.8092485549132948,0.9997343924004218
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,8,174,0.7183908045977011,0.9997134979428917
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,9,173,0.7687861271676301,0.9996818655488119
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F4_computed_agg,val,10,174,0.6781609195402298,0.9995931541097576
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,1,170,0.9235294117647059,0.9918490753454321
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,2,170,0.8941176470588236,0.9871682321324068
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,3,170,0.9,0.9840062821612638
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,4,170,0.9058823529411765,0.9811631220228532
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,5,171,0.8654970760233918,0.977695518069797
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,6,170,0.9058823529411765,0.9741502341102152
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,7,170,0.8941176470588236,0.9701056231470669
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,8,170,0.9294117647058824,0.964933104024214
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,9,170,0.888235294117647,0.9557870454647962
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,test,10,171,0.9005847953216374,0.9229352474212646
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,1,173,0.9075144508670521,0.990114079389958
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,2,173,0.930635838150289,0.985745690461528
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,3,174,0.9252873563218391,0.9826135512056022
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,4,173,0.861271676300578,0.9793171017845242
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,5,174,0.867816091954023,0.9758866408775593
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,6,173,0.8728323699421965,0.9714289121545119
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,7,173,0.8439306358381503,0.9659256304619629
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,8,174,0.8218390804597702,0.958034617119822
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,9,173,0.8323699421965318,0.9426456272946617
gcn_graph_a_sprint5,graph_a_minimal_physical_target,S5F5_computed_pos,val,10,174,0.8505747126436781,0.8953740374110211
