run_id,run_order,predeclared_run_id,loss_params,sampling,role,prior_sprint4_graph_a_test_auprc,prior_sprint4_graph_a_test_mcc,prior_sprint5_s5f2_test_auprc,prior_sprint5_s5f2_test_mcc,prior_test_positive_prevalence,sprint,label_scheme,split_id,seed,training_regime,model_name,feature_set,graph_schema,visibility_policy,target_node_representation,loss,checkpoint_policy,checkpoint_selection_split,threshold_policy,threshold_selection_split,threshold,best_epoch,epochs_ran,best_val_auprc,edge_feature_sets,edge_feature_columns,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,graph_artifact_manifest_schema,graph_artifact_split_id,weighted_bce_pos_weight,use_compile,use_amp,target_semantics,notes,val_rows,val_positive_rate,val_auprc,val_auroc,val_f1,val_macro_f1,val_mcc,val_specificity,val_sensitivity,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_rows,test_positive_rate,test_auprc,test_auroc,test_f1,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,0,S6R0_wbce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation,validation_max_f1,validation,0.1560085266828537,10,25,0.9481822241144718,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9481822241144718,0.7289058117897748,0.9387628225054399,0.5769511323682578,0.3198119092423385,0.1210762331838565,0.99933818663137,27,196,1,1510,0.98,0.986,1.0,0.10919920582395765,0.39113170086035737,0.4612839179351423,1702,0.900705052878966,0.9769354874465136,0.81997244062576,0.960377358490566,0.698938679245283,0.48371907791309793,0.28994082840236685,0.9960861056751468,49,120,6,1527,1.0,1.0,1.0,0.48793215916503585,0.542726679712981,0.5955642530984997
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,1,S6R1_bce_unw,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,bce_unweighted,validation_auprc,validation,validation_max_f1,validation,0.8919926881790161,2,17,0.9588004909714618,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9588004619330972,0.7909856864310453,0.9320086929524992,0.5226845084195695,0.16092540086559823,0.06278026905829596,0.9933818663136995,14,209,10,1501,1.0,0.974,1.0,0.1542025148908008,0.30244870946393115,0.4182660489741893,1702,0.900705052878966,0.9492800823871363,0.6850897609590971,0.9505750699409388,0.5501538451308972,0.23455743139102803,0.08284023668639054,0.9973907371167645,14,155,4,1529,0.97,0.974,1.0,0.05870841487279843,0.25701239399869535,0.365296803652968
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,2,S6R2_focal_g2_a25,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,focal,validation_auprc,validation,validation_max_f1,validation,0.7117778658866882,1,16,0.9539324057864123,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.953932363958655,0.7590405783595933,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0,223,0,1511,1.0,0.978,1.0,0.21906022501654535,0.3315684976836532,0.4129715420251489,1702,0.900705052878966,0.9634968713439838,0.8054362216638298,0.950077519379845,0.525318089298861,0.20583419051803561,0.05325443786982249,0.9993476842791911,9,160,1,1532,0.93,0.972,1.0,0.021526418786692758,0.1917808219178082,0.58382257012394
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,3,S6R3_focal_g1_a25,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,focal,validation_auprc,validation,validation_max_f1,validation,0.6946645379066467,1,16,0.9480707589567998,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9480707191580526,0.732280169637902,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0,223,0,1511,1.0,0.968,1.0,0.20119126406353408,0.2938451356717406,0.3673064195896757,1702,0.900705052878966,0.9623724910400026,0.7953079586377795,0.9491945477075588,0.5086881829446885,0.16285134583623057,0.03550295857988166,0.9993476842791911,6,163,1,1532,0.93,0.972,1.0,0.021526418786692758,0.21787345075016307,0.5231572080887149
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,4,S6R4_focal_g2_a50,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,focal,validation_auprc,validation,validation_max_f1,validation,0.7252034544944763,1,16,0.9544743392620668,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9544743795621283,0.7667122714443855,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0,223,0,1511,1.0,0.976,1.0,0.15354070152217075,0.30311052283256124,0.4268696227663799,1702,0.900705052878966,0.9568034730759204,0.7737313617187167,0.9491945477075588,0.5086881829446885,0.16285134583623057,0.03550295857988166,0.9993476842791911,6,163,1,1532,0.92,0.97,1.0,0.020874103065883887,0.10632746249184605,0.41682974559686886
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,5,S6R5_dice,"{""class_weights"": ""inverse_volume"", ""epsilon"": 1.0}",null,generalized_dice_sudre2017,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,generalized_dice,validation_auprc,validation,validation_max_f1,validation,3.2319924514467857e-09,75,90,0.9414865680541571,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9414865680541571,0.6916899389529103,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0,223,0,1511,0.98,0.974,1.0,0.07677035076108538,0.2739907346128392,0.4559894109861019,1702,0.900705052878966,0.8711738760752983,0.38266229730929413,0.9477588871715611,0.47387944358578055,0.0,0.0,1.0,0,169,0,1533,0.86,0.84,1.0,0.020874103065883887,0.038486627527723416,0.0593607305936073
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,6,S6R6_tversky_a70_b30,"{""alpha"": 0.7, ""beta"": 0.3, ""epsilon"": 1.0}",null,tversky_specificity_oriented_inverted_salehi2017,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,tversky,validation_auprc,validation,validation_max_f1,validation,0.9166586995124817,2,17,0.9753526024628919,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9753526024628919,0.8579030309865174,0.9327131782945737,0.5198545315341181,0.1682447009710117,0.05829596412556054,0.9953673064195897,13,210,7,1504,1.0,0.996,1.0,0.3302448709463931,0.4698874917273329,0.5876902713434812,1702,0.900705052878966,0.9558036561873858,0.7100707511666415,0.9515527950310559,0.551863354037267,0.2629779003203708,0.08284023668639054,0.9993476842791911,14,155,1,1532,0.99,0.986,1.0,0.07110241356816699,0.4181343770384866,0.4520547945205479
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,7,S6R7_balanced_sampling,"{""pos_weight"": 1.0}","{""deterministic_by_seed"": true, ""scope"": ""measured_only"", ""strategy"": ""balanced_subsample"", ""target_ratio"": 1.0}",sampling_axis_measured_only,0.966287,0.300781,0.976585,0.477933,0.900705,sprint6,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,bce_unweighted,validation_auprc,validation,validation_max_f1,validation,0.1881120204925537,10,25,0.9588641359869902,s5f2_energy,268,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_a_minimal_physical_target,sprint2_main_seed42,0.12674075365066528,True,True,minimal_physical_target,Graph A minimal GCN path; no test-driven selection; no Graph C/B run,1734,0.8713956170703575,0.9588641543814249,0.7929592554451214,0.9367798193709125,0.5734482754442111,0.2811487409376217,0.1210762331838565,0.9953673064195897,27,196,7,1504,0.98,0.984,1.0,0.10589013898080742,0.3633355393778954,0.49040370615486434,1702,0.900705052878966,0.9762049328944724,0.8151669194872566,0.958594730238394,0.6737418095636415,0.4476016591236499,0.2485207100591716,0.9967384213959556,42,127,5,1528,1.0,1.0,1.0,0.4572733202870189,0.48532289628180036,0.5877364644487932
