run_id,predeclared_run_id,graph_schema,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,1,171,171,1.0,0.8746158396988585,0.8020970225334167,0.9794763922691345
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,2,170,170,1.0,0.7423424482345581,0.6954171061515808,0.8013387322425842
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,3,170,169,0.9941176470588236,0.6585272648755242,0.6310528516769409,0.6947301030158997
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,4,170,165,0.9705882352941176,0.605580125836765,0.5854438543319702,0.63005131483078
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,5,170,161,0.9470588235294117,0.5691123559194453,0.5503529906272888,0.585032045841217
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,6,170,143,0.8411764705882353,0.5065990213085624,0.4520798921585083,0.5500314831733704
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,7,170,147,0.8647058823529412,0.4021137447918163,0.36348098516464233,0.4519812762737274
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,8,170,147,0.8647058823529412,0.3300877820043003,0.2971971333026886,0.36287954449653625
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,9,170,153,0.9,0.26461126383613137,0.22731563448905945,0.2971034049987793
sprint7b_gatv2_topology_seed42_20260607_174739_S7B_R1_graph_b_gcn_s5f2,S7B_R1_graph_b_gcn_s5f2,graph_b_guide_similarity_control,gcn,10,171,107,0.6257309941520468,0.17398518824960754,0.07140102982521057,0.22714562714099884
