sprint,label_scheme,split_id,seed,training_regime,model_name,feature_set,train_rows,val_rows,test_rows,feature_columns,threshold_policy,threshold,notes,val_positive_rate,val_auprc,val_auroc,val_f1,val_mcc,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_positive_rate,test_auprc,test_auroc,test_f1,test_mcc,test_tn,test_fp,test_fn,test_tp,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,dummy_prior,F1,8010,1734,1702,33,validation_max_f1,0.8875156054931336,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.8713956170703575,0.5,0.9312788906009244,0.0,0,223,0,1511,0.8713956170703575,0.8713956170703575,0.8713956170703575,0.0,0.0,0.0,0.900705052878966,0.900705052878966,0.5,0.9477588871715612,0.0,0,169,0,1533,0.900705052878966,0.900705052878966,0.900705052878966,0.0,0.0,0.0
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,logistic_regression,F1,8010,1734,1702,33,validation_max_f1,0.1641722369032107,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9367387424419028,0.7004626758034502,0.9315659679408138,0.0625288612109732,1,222,0,1511,0.99,0.954,1.0,0.0820648577101257,0.1568497683653209,0.315023163467902,0.900705052878966,0.9128264351824896,0.4653095411788773,0.9474335188620904,-0.0080504492780407,0,169,1,1532,1.0,0.918,1.0,0.0678408349641226,0.1780821917808219,0.1911285061969993
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,dummy_prior,F2,8010,1734,1702,38,validation_max_f1,0.8875156054931336,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.8713956170703575,0.5,0.9312788906009244,0.0,0,223,0,1511,0.8713956170703575,0.8713956170703575,0.8713956170703575,0.0,0.0,0.0,0.900705052878966,0.900705052878966,0.5,0.9477588871715612,0.0,0,169,0,1533,0.900705052878966,0.900705052878966,0.900705052878966,0.0,0.0,0.0
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,logistic_regression,F2,8010,1734,1702,38,validation_max_f1,0.4773808565478103,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9188554702933328,0.6561953744290747,0.9336639801611905,0.1912416662294969,14,209,5,1506,0.94,0.93,1.0,0.0264725347452018,0.0933156849768365,0.2276637988087359,0.900705052878966,0.8907666991832681,0.3946085526696696,0.9428571428571428,-0.0313083631856544,0,169,15,1518,1.0,0.836,1.0,0.0848010437051532,0.1232876712328767,0.1389432485322896
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,dummy_prior,F3,8010,1734,1702,44,validation_max_f1,0.8875156054931336,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.8713956170703575,0.5,0.9312788906009244,0.0,0,223,0,1511,0.8713956170703575,0.8713956170703575,0.8713956170703575,0.0,0.0,0.0,0.900705052878966,0.900705052878966,0.5,0.9477588871715612,0.0,0,169,0,1533,0.900705052878966,0.900705052878966,0.900705052878966,0.0,0.0,0.0
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,logistic_regression,F3,8010,1734,1702,44,validation_max_f1,0.5424405088318498,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9435848759440858,0.7295201407911488,0.9348230912476724,0.2265082135784129,18,205,5,1506,0.98,0.966,1.0,0.0840502978160158,0.2223692918596955,0.3812045003309067,0.900705052878966,0.9065063002147662,0.47351173589319,0.9438411417933602,-0.0279781855196266,0,169,12,1521,0.98,0.88,1.0,0.0306588388780169,0.1441617742987606,0.1735159817351598
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,dummy_prior,F4,8010,1734,1702,135,validation_max_f1,0.8875156054931336,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.8713956170703575,0.5,0.9312788906009244,0.0,0,223,0,1511,0.8713956170703575,0.8713956170703575,0.8713956170703575,0.0,0.0,0.0,0.900705052878966,0.900705052878966,0.5,0.9477588871715612,0.0,0,169,0,1533,0.900705052878966,0.900705052878966,0.900705052878966,0.0,0.0,0.0
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,logistic_regression,F4,8010,1734,1702,135,validation_max_f1,0.4772111298349977,measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9446322333435088,0.7370048641798709,0.9336655247586422,0.2190231526021853,22,201,12,1499,0.98,0.962,1.0,0.1197882197220383,0.228987425545996,0.3520847121111846,0.900705052878966,0.9171259324754308,0.5220146906132154,0.9431500465983224,-0.0119857306931,1,168,15,1518,0.99,0.91,1.0,0.0691454664057403,0.1167645140247879,0.1833007175472928
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,xgboost_unweighted,F1,8010,1734,1702,33,validation_max_f1,0.3730897307395935,xgboost_unweighted; measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9615487077918605,0.8214647146634694,0.9355143126769424,0.3017145267664344,42,181,24,1487,0.99,0.972,1.0,0.08934480476505625,0.2680344142951688,0.40900066181336864,0.900705052878966,0.8705831558971769,0.31523060711680306,0.9005506964690638,-0.06760297185286741,5,164,143,1390,1.0,0.79,1.0,0.10632746249184605,0.1141552511415525,0.11806914546640573
sprint2,scheme_a,sprint2_main_seed42,42,measured_only,xgboost_balanced_train_weights,F1,8010,1734,1702,33,validation_max_f1,0.2771732807159424,xgboost_balanced_train_weights; measured-only main split; experiment_id=18 excluded,0.8713956170703575,0.9475056590669375,0.7892762492098304,0.9324618736383442,0.19052350996880013,19,204,13,1498,0.9839024390243902,0.9553153153153153,1.0,0.07875579086697551,0.08868299139642621,0.30377233620119126,0.900705052878966,0.865427262821423,0.2841722731079949,0.9435133457479826,-0.02912923815452525,0,169,13,1520,1.0,0.776,1.0,0.09719504240052185,0.10632746249184605,0.11024135681669928
