registry_id,sprint,metric,point,percentile_lo,percentile_hi,bca_lo,bca_hi,bca_trusted,bca_note,undefined_rate,n_unique_samples,frac_at_upper_bound,shape_flag,interval_type,threshold,threshold_metric,n_test_guides,n_boot,ci,seed,no_skill_baseline
S8A_R1,sprint8a,specificity,0.31952662721893493,0.07903755615211328,0.8085359675785203,0.010681314221458137,0.7142857142857143,False,dominated_by_one_guide,0.0,3352,0.0006,ok,guide_cluster_finite_sample_compatibility,0.1677026748657226,True,29,5000,0.95,12345,0.900705
S8A_R1,sprint8a,macro_f1,0.6806495231108739,0.5165305301957013,0.9013032460629589,0.4918111927413202,0.8736786970854099,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.1677026748657226,True,29,5000,0.95,12345,0.900705
S8A_R2,sprint8a,auprc,0.9827569522755897,0.9104778181298268,0.9998916042165846,0.9191771904026588,0.9999255138925323,False,dominated_by_one_guide,0.0,5000,0.0014,ok,guide_cluster_finite_sample_compatibility,0.1378066837787628,False,29,5000,0.95,12345,0.900705
S8A_R2,sprint8a,auroc,0.9105748484041424,0.7445851690374002,0.9976246962199062,0.7325058154923059,0.997311427754258,False,dominated_by_one_guide,0.0,5000,0.0002,ok,guide_cluster_finite_sample_compatibility,0.1378066837787628,False,29,5000,0.95,12345,0.900705
S8A_R2,sprint8a,mcc,0.5636559421565394,0.30821792580883917,0.8872949102843178,0.2326119390084919,0.8459693701622385,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.1378066837787628,True,29,5000,0.95,12345,0.900705
S8A_R2,sprint8a,specificity,0.5207100591715976,0.2663175109783151,1.0,0.20196077498436904,0.9140710329279446,False,dominated_by_one_guide,0.0,2354,0.0416,ok,guide_cluster_finite_sample_compatibility,0.1378066837787628,True,29,5000,0.95,12345,0.900705
S8A_R2,sprint8a,macro_f1,0.777992277992278,0.6376884645221925,0.9429330450925781,0.6009096918863784,0.9232774411789157,False,dominated_by_one_guide,0.0,4998,0.0,ok,guide_cluster_finite_sample_compatibility,0.1378066837787628,True,29,5000,0.95,12345,0.900705
S8A_R3,sprint8a,auprc,0.979898982477782,0.9110606557365525,0.998704317723667,0.9234225251297509,0.9993860115695808,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0528999604284763,False,29,5000,0.95,12345,0.900705
S8A_R3,sprint8a,auroc,0.8850766374475544,0.6908159287901686,0.9769578700247152,0.7068012598237892,0.9791047143588604,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0528999604284763,False,29,5000,0.95,12345,0.900705
S8A_R3,sprint8a,mcc,0.30343138406498826,0.0821998920856209,0.6309062908967643,0.042929386661374844,0.5836854239605553,True,ok,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.0528999604284763,True,29,5000,0.95,12345,0.900705
S8A_R3,sprint8a,specificity,0.21893491124260356,0.08162887377173092,0.5278017241379307,0.058107305764918404,0.4680602769855434,False,dominated_by_one_guide,0.0,3117,0.0,ok,guide_cluster_finite_sample_compatibility,0.0528999604284763,True,29,5000,0.95,12345,0.900705
S8A_R3,sprint8a,macro_f1,0.6303840102107839,0.5225979519841895,0.7947260856959133,0.5170958401252406,0.7886601654476991,False,dominated_by_one_guide,0.0,4998,0.0,ok,guide_cluster_finite_sample_compatibility,0.0528999604284763,True,29,5000,0.95,12345,0.900705
S8A_R4,sprint8a,auprc,0.975686798825135,0.9049468482491948,0.9997945161570009,0.8645687188896068,0.9983863673651072,True,ok,0.0,5000,0.0002,ok,guide_cluster_finite_sample_compatibility,0.162911906838417,False,29,5000,0.95,12345,0.900705
S8A_R4,sprint8a,auroc,0.8256734484342492,0.6258464451036181,0.9961189262105443,0.5061149807784139,0.9553527321243197,True,ok,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.162911906838417,False,29,5000,0.95,12345,0.900705
S8A_R4,sprint8a,mcc,0.38921078972316175,0.13092122900696837,0.7758704042926446,0.059358266509347654,0.6875147707237859,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.162911906838417,True,29,5000,0.95,12345,0.900705
S8A_R4,sprint8a,specificity,0.4437869822485207,0.16785426267281106,1.0,0.06275340651466142,0.8865979381443299,False,dominated_by_one_guide,0.0,2416,0.0418,ok,guide_cluster_finite_sample_compatibility,0.162911906838417,True,29,5000,0.95,12345,0.900705
S8A_R4,sprint8a,macro_f1,0.6945834714934951,0.5577890684128514,0.8821854038459908,0.5438468964109743,0.8644839765177045,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.162911906838417,True,29,5000,0.95,12345,0.900705
S8B_R1,sprint8b,auprc,0.856666085132772,0.7007174528540024,0.958694206201063,0.6744561200150984,0.9505408141390614,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4981707632541656,False,29,5000,0.95,12345,0.900705
S8B_R1,sprint8b,auroc,0.3041643990010692,0.13077716704122894,0.5661435629332519,0.12664567386157272,0.5604064670237076,True,ok,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4981707632541656,False,29,5000,0.95,12345,0.900705
S8B_R1,sprint8b,mcc,-0.019748539187977365,-0.0474765701545629,0.0,-0.054389804127882344,-0.004234074105818457,True,ok,0.0,4787,0.0,ok,guide_cluster_finite_sample_compatibility,0.4981707632541656,True,29,5000,0.95,12345,0.900705
S8B_R1,sprint8b,specificity,0.0,0.0,0.0,,,False,bias_correction_degenerate,0.0,1,0.0,discrete,guide_cluster_finite_sample_compatibility,0.4981707632541656,True,29,5000,0.95,12345,0.900705
S8B_R1,sprint8b,macro_f1,0.4729018271910808,0.4273630141595779,0.49208060944117693,0.4219695922304134,0.4913356590339641,False,dominated_by_one_guide,0.0,4912,0.0,ok,guide_cluster_finite_sample_compatibility,0.4981707632541656,True,29,5000,0.95,12345,0.900705
S8B_R2,sprint8b,auprc,0.9860197951127561,0.9299808952701378,0.9989661755522746,0.934104867303763,0.9991998444301041,True,ok,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4467241764068603,False,29,5000,0.95,12345,0.900705
S8B_R2,sprint8b,auroc,0.9034804324583039,0.7428713532242972,0.9819069310134682,0.7653511642487386,0.9865973357153506,True,ok,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4467241764068603,False,29,5000,0.95,12345,0.900705
S8B_R2,sprint8b,mcc,0.5673088150643012,0.31191097301461834,0.7638193282770289,0.31479341462442134,0.7664295649617185,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4467241764068603,True,29,5000,0.95,12345,0.900705
S8B_R2,sprint8b,specificity,0.863905325443787,0.574689089881289,0.972027972027972,0.604593858509205,0.9763313609467456,False,dominated_by_one_guide,0.0,2604,0.0132,ok,guide_cluster_finite_sample_compatibility,0.4467241764068603,True,29,5000,0.95,12345,0.900705
S8B_R2,sprint8b,macro_f1,0.7600577795833898,0.6073699588620453,0.8793840840236953,0.606687493252818,0.8789776892659809,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.4467241764068603,True,29,5000,0.95,12345,0.900705
XGB_F4,sprint2,auprc,0.9923383411655163,0.9501789033483855,0.9993364064734583,0.9570039629495354,0.9995402797310057,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.6047564148902893,False,29,5000,0.95,12345,0.900705
XGB_F4,sprint2,auroc,0.9364204464309839,0.8333653710770342,0.987470194775519,0.8543177572481592,0.9918724597196142,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.6047564148902893,False,29,5000,0.95,12345,0.900705
XGB_F4,sprint2,mcc,0.35114567277449504,0.07888630522613145,0.6992358919624238,0.04578754825126801,0.6608238652458804,False,dominated_by_one_guide,0.0,5000,0.0,ok,guide_cluster_finite_sample_compatibility,0.6047564148902893,True,29,5000,0.95,12345,0.900705
XGB_F4,sprint2,specificity,0.23668639053254437,0.04716427495792367,0.6777080873671779,0.031746031746031744,0.582303696088897,False,dominated_by_one_guide,0.0,3317,0.0004,ok,guide_cluster_finite_sample_compatibility,0.6047564148902893,True,29,5000,0.95,12345,0.900705
XGB_F4,sprint2,macro_f1,0.6484541461929817,0.5088866123718138,0.8444011862762903,0.5000015963044112,0.8245281359047921,False,dominated_by_one_guide,0.0,4998,0.0,ok,guide_cluster_finite_sample_compatibility,0.6047564148902893,True,29,5000,0.95,12345,0.900705
