comparison_id,a_id,b_id,metric,point_a,point_b,point_delta,percentile_lo,percentile_hi,interval_excludes_zero,prob_positive,bca_lo,bca_hi,bca_trusted,bca_note,undefined_delta_rate,interval_type,threshold_metric,n_test_guides,n_boot,ci,seed
P1,S8B_R2,S8A_R2,auprc,0.9860197951127561,0.9827569522755897,0.00326284283716638,-0.014838523463410863,0.03705888172573669,False,0.615,-0.016922489842795242,0.03481495325408254,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P1,S8B_R2,S8A_R2,auroc,0.9034804324583039,0.9105748484041424,-0.007094415945838484,-0.0962239951227099,0.06124167280806871,False,0.3944,-0.09231137312173107,0.06464718700422308,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P1,S8B_R2,S8A_R2,mcc,0.5673088150643012,0.5636559421565394,0.0036528729077618394,-0.3234869721720388,0.20629081622565926,False,0.4772,-0.27558176331114764,0.27643870267937476,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P1,S8B_R2,S8A_R2,specificity,0.863905325443787,0.5207100591715976,0.3431952662721893,-0.11323450134770875,0.6220735785953178,False,0.6366,-0.0714285714285714,0.7043933652416603,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P1,S8B_R2,S8A_R2,macro_f1,0.7600577795833898,0.777992277992278,-0.017934498408888166,-0.2008734212055636,0.0935221368717767,False,0.3686,-0.1652169697556802,0.12919903069849895,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P2,S8B_R2,S7F_R3,auprc,0.9860197951127561,0.9849450506906443,0.0010747444221117508,-0.02099273003623637,0.026519092677030322,False,0.5086,-0.01710133213892853,0.030083920407513003,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P2,S8B_R2,S7F_R3,auroc,0.9034804324583039,0.9265507937794555,-0.02307036132115159,-0.12327458695469615,0.04409384110343815,False,0.2176,-0.1623480213912152,0.031529434310005176,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P2,S8B_R2,S7F_R3,mcc,0.5673088150643012,0.5681083533534749,-0.0007995382891736735,-0.38703349224009986,0.22945866639047025,False,0.46,-0.3127434421938688,0.3325730136916679,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P2,S8B_R2,S7F_R3,specificity,0.863905325443787,0.4970414201183432,0.3668639053254438,-0.24659073418500838,0.6921478699827623,False,0.6882,-0.1519247947995488,0.7919794872458692,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P2,S8B_R2,S7F_R3,macro_f1,0.7600577795833898,0.7771849042975804,-0.017127124714190534,-0.22384793299439723,0.11863552556063038,False,0.38,-0.18224693132867642,0.16603175181040877,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P3,S8A_R2,S7F_R3,auprc,0.9827569522755897,0.9849450506906443,-0.002188098415054629,-0.019321168930561357,0.0012411332576773724,False,0.1566,-0.01676288515844865,0.0016844318582102523,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P3,S8A_R2,S7F_R3,auroc,0.9105748484041424,0.9265507937794555,-0.015975945375313105,-0.06360023668768315,0.006615169064924604,False,0.1522,-0.10499495724051107,0.0011923242548323098,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,False,29,5000,0.95,12345
P3,S8A_R2,S7F_R3,mcc,0.5636559421565394,0.5681083533534749,-0.004452411196935513,-0.12312250091285176,0.06356784741057095,False,0.4374,-0.12055931216401757,0.06617311432468158,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P3,S8A_R2,S7F_R3,specificity,0.5207100591715976,0.4970414201183432,0.023668639053254448,-0.1947337231352717,0.09790299906279283,False,0.6294,-0.1746031746031746,0.10377358490566035,False,dominated_by_one_guide,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
P3,S8A_R2,S7F_R3,macro_f1,0.777992277992278,0.7771849042975804,0.0008073736946976329,-0.06115188108663562,0.039041317978627615,False,0.5366,-0.06836470441956825,0.03674707070900804,True,ok,0.0,paired_guide_cluster_finite_sample_compatibility,True,29,5000,0.95,12345
