run_id,predeclared_run_id,split,graph_schema,drop_context_similarity_edges,edge_blind_candidate_attention,mask_target_observation_features,candidate_edges,context_edges_available,context_edges_used,attention_edges,attention_edge_attr_dim,candidate_attention_attr_abs_sum,context_attention_attr_abs_sum,classifier_candidate_edge_attr_dim,classifier_candidate_edge_attr_abs_sum,target_observation_feature_dim,target_feature_abs_sum_before_mask,target_feature_abs_sum_after_mask
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,train,graph_c_context_observation,False,True,False,8010,59450,59450,134920,268,0.0,0.0,268,1544643.875,212,691687.25,691687.25
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,val,graph_c_context_observation,False,True,False,9744,75822,75822,171132,268,0.0,0.0,268,1877354.5,212,839189.3125,839189.3125
sprint7d_graphc_gatv2_mechanism_seed42_20260607_203646_S7D_R2_edge_blind_attention,S7D_R2_edge_blind_attention,test,graph_c_context_observation,False,True,False,9712,75382,75382,170188,268,0.0,0.0,268,1855902.25,212,837671.3125,837671.3125
