run_id,predeclared_run_id,run_order,model_name,graph_schema,epoch,train_loss,val_loss,val_auprc,lr,selection_split
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,1,0.15595465898513794,0.16566519439220428,0.8101725575399702,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,2,0.15589766204357147,0.16568219661712646,0.8037654220168735,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,3,0.15580084919929504,0.16570991277694702,0.7952653554437032,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,4,0.15583233535289764,0.16574521362781525,0.7791115626940837,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,5,0.15581031143665314,0.16578353941440582,0.7751663687232901,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,6,0.1557571142911911,0.16581638157367706,0.7738660209966528,0.001,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,7,0.15575413405895233,0.16583839058876038,0.7736789326563067,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,8,0.15569528937339783,0.16584867238998413,0.7738793034140813,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,9,0.1556299924850464,0.1658545881509781,0.7740198193828516,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,10,0.15563194453716278,0.16586042940616608,0.7743458303072215,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,11,0.15563803911209106,0.16586479544639587,0.7747200292023364,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,12,0.15553130209445953,0.16586896777153015,0.775085332805988,0.0005,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,13,0.1556147187948227,0.16587412357330322,0.7753374476387814,0.00025,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,14,0.15559647977352142,0.16587498784065247,0.7755129189088645,0.00025,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,15,0.15552565455436707,0.16587892174720764,0.775789510802382,0.00025,validation
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,gatv2_graph_c_sprint8b_sequence_only,graph_c_context_observation,16,0.15551342070102692,0.1658802032470703,0.7759663164230837,0.00025,validation
