model_name,graph_schema,feature_set,split,threshold,threshold_selection_split,rows,positive_rate,f1,mcc,tn,fp,fn,tp
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,test,0.0706665888428688,validation,1702,0.900705052878966,0.9588955130216504,0.4537375293609119,43,126,5,1528
gcn_graph_c,graph_c_context_observation,CandidatePair+TargetObservationContext,val,0.0706665888428688,validation,1734,0.8713956170703575,0.9333746513789898,0.18161385794333956,13,210,5,1506
