run_id,predeclared_run_id,graph_schema,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,1,171,150,0.8771929824561403,0.4988441486456241,0.4987679123878479,0.4990159571170807
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,2,170,130,0.7647058823529411,0.4987084399251377,0.49863117933273315,0.4987674355506897
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,3,170,121,0.711764705882353,0.49857591197771184,0.49852970242500305,0.4986284673213959
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,4,170,154,0.9058823529411765,0.49850443145808054,0.4984792470932007,0.49852949380874634
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,5,170,160,0.9411764705882353,0.4984609684523414,0.4984435737133026,0.4984777569770813
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,6,170,161,0.9470588235294117,0.49842799025423384,0.4984133541584015,0.49844297766685486
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,7,170,164,0.9647058823529412,0.4983973801136017,0.49838340282440186,0.4984132647514343
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,8,170,168,0.9882352941176471,0.4983686543562833,0.49835366010665894,0.49838340282440186
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,9,170,167,0.9823529411764705,0.49833136867074407,0.49830594658851624,0.498353511095047
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,graph_c_context_observation,gatv2,10,171,158,0.9239766081871345,0.4982547312103517,0.4979782998561859,0.49830472469329834
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,1,171,171,1.0,0.8302038162075288,0.7691657543182373,0.902106523513794
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,2,170,169,0.9941176470588236,0.7452559737598194,0.7270427942276001,0.7686037421226501
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,3,170,166,0.9764705882352941,0.7127231727628147,0.6988330483436584,0.7268251776695251
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,4,170,165,0.9705882352941176,0.6857251752825344,0.6731467843055725,0.6985657811164856
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,5,170,166,0.9764705882352941,0.6610524184563581,0.647899329662323,0.6729795336723328
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,6,170,170,1.0,0.6325810439446393,0.6152048110961914,0.6478047966957092
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,7,170,170,1.0,0.5928220759419834,0.5683810710906982,0.6150745153427124
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,8,170,163,0.9588235294117647,0.5285957730868284,0.4581712484359741,0.5679256916046143
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,9,170,107,0.6294117647058823,0.4009906893267351,0.3507646322250366,0.4579891562461853
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,graph_c_context_observation,gatv2,10,171,86,0.5029239766081871,0.2893999185827043,0.13715380430221558,0.3503798246383667
