run_id,predeclared_run_id,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,1,171,165,0.9649122807017544,0.9799552378598709,0.9679798483848572,0.9942264556884766
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,2,170,169,0.9941176470588236,0.9278762435211855,0.8488444685935974,0.9675509929656982
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,3,170,169,0.9941176470588236,0.7584171428399927,0.668974757194519,0.845595121383667
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,4,170,159,0.9352941176470588,0.5442716121673584,0.40330246090888977,0.6684490442276001
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,5,170,160,0.9411764705882353,0.3151782528442495,0.25604018568992615,0.40263497829437256
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,6,170,146,0.8588235294117647,0.22622545501765082,0.19933219254016876,0.25601229071617126
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,7,170,127,0.7470588235294118,0.17659121523885166,0.1564788818359375,0.1989758014678955
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,8,170,128,0.7529411764705882,0.13413442675681675,0.11285755038261414,0.15604686737060547
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,9,170,161,0.9470588235294117,0.09744142171214609,0.08758695423603058,0.11284170299768448
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,10,171,149,0.8713450292397661,0.08103639436395545,0.0541912242770195,0.08752263337373734
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1,171,164,0.9590643274853801,0.9566987582117493,0.9323021769523621,0.9923468828201294
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,2,170,169,0.9941176470588236,0.8883538589758031,0.7633134126663208,0.9320816397666931
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,3,170,170,1.0,0.6213617142509011,0.5719725489616394,0.7474306225776672
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,4,170,169,0.9941176470588236,0.549030577435213,0.5255685448646545,0.5717124938964844
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,5,170,165,0.9705882352941176,0.4998876997653176,0.4621243178844452,0.5254302024841309
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,6,170,154,0.9058823529411765,0.4246342231245602,0.3935767412185669,0.46200621128082275
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,7,170,156,0.9176470588235294,0.37114999048850117,0.34790459275245667,0.393420934677124
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,8,170,147,0.8647058823529412,0.32055686466834127,0.29480648040771484,0.34785786271095276
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,9,170,145,0.8529411764705882,0.2669512530460077,0.23598378896713257,0.29476040601730347
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,10,171,94,0.5497076023391813,0.15742673942742988,0.04064740240573883,0.2357221394777298
