run_id,predeclared_run_id,architecture,test_auprc,delta_auprc_vs_sprint6_wbce,delta_auprc_vs_xgboost_f4,test_mcc,test_specificity
sprint7_gat_gatv2_seed42_20260607_153444_S7R0_gcn_reference,S7R0_gcn_reference,gcn,0.9769354874465136,0.0,-0.01558651255348642,0.4837190779130979,0.2899408284023668
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,S7R1_gat_edge_aware,gat,0.950763411992072,-0.026172075454441557,-0.04175858800792798,-0.016850095423773925,0.1834319526627219
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,0.9654486492958971,-0.011486838150616463,-0.027073350704102883,0.29136710825831735,0.21893491124260356
