run_id,predeclared_run_id,architecture,grna_target_id,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1018,4,4,1.0,0.9535538703203201,0.9360767602920532,0.9846042990684509
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1026,2,2,1.0,0.6703576445579529,0.5185274481773376,0.8221878409385681
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1028,15,1,0.06666666666666667,0.10665199160575867,0.09159132838249207,0.12683731317520142
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1044,13,1,0.07692307692307693,0.18392499880148813,0.11453195661306381,0.24323488771915436
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,10597,2,2,1.0,0.1326551977545023,0.05946934595704079,0.2058410495519638
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,10599,33,33,1.0,0.5952651898066202,0.43791094422340393,0.7698135375976562
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1060,15,2,0.13333333333333333,0.1453172132372856,0.07555324584245682,0.21306262910366058
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,1088,13,1,0.07692307692307693,0.26257561376461613,0.1725907325744629,0.45202356576919556
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,10957,4,4,1.0,0.3902548626065254,0.26830899715423584,0.5772677659988403
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,10990,20,20,1.0,0.07081169486045838,0.04064740240573883,0.23527605831623077
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,11012,8,8,1.0,0.4396524988114834,0.2503145635128021,0.76628178358078
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,S7R2_gatv2_edge_aware,gatv2,11173,145,145,1.0,0.9214575315343922,0.6561845541000366,0.9766165614128113
