model_name,feature_set,split,rows,positives,negatives,positive_rate,auprc,auprc_inverted,auroc,auroc_inverted,mean_score_positive,mean_score_negative,median_score_positive,median_score_negative
tabular_mlp_balanced_train_weights,F3,test,1702,1533,169,0.900705052878966,0.9597280912431347,0.8241017190875735,0.7353257911740524,0.2646742088259475,0.6029066025699685,0.36408704355356314,0.620412215511431,0.3232643240222325
tabular_mlp_balanced_train_weights,F3,val,1734,1511,223,0.8713956170703575,0.9739208614480633,0.7378776765540163,0.8616127471783899,0.13838725282161013,0.5984624536532778,0.22468397446267035,0.6309516945274902,0.17862272341699875
tabular_mlp_balanced_train_weights,F4,test,1702,1533,169,0.900705052878966,0.9470893993821414,0.8352893461938568,0.6891966481007576,0.3108033518992423,0.6089120575414942,0.4099098251568167,0.6318705741355607,0.34496499867413943
tabular_mlp_balanced_train_weights,F4,val,1734,1511,223,0.8713956170703575,0.960287152377221,0.7541555116548033,0.8151581971372861,0.1848418028627138,0.6023976857091874,0.2734937311757715,0.6450143775166585,0.201610576614024
