feature_set,feature,family,is_forbidden
F4,energy_4,binding_energy,False
F4,energy_5,binding_energy,False
F4,epigen_ctcf,experimental_epigenetic,False
F4,epigen_dnase,experimental_epigenetic,False
F4,epigen_rrbs,experimental_epigenetic,False
F4,epigen_h3k4me3,experimental_epigenetic,False
F4,epigen_drip,experimental_epigenetic,False
F4,MNase,experimental_epigenetic,False
F4,GCContent_mean,computed_nucleosome_aggregates,False
F4,GCContent_std,computed_nucleosome_aggregates,False
F4,GCContent_min,computed_nucleosome_aggregates,False
F4,GCContent_max,computed_nucleosome_aggregates,False
F4,GCContent_center,computed_nucleosome_aggregates,False
F4,GCContent_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,GCContent_missing,computed_nucleosome_missingness,False
F4,WSScore_mean,computed_nucleosome_aggregates,False
F4,WSScore_std,computed_nucleosome_aggregates,False
F4,WSScore_min,computed_nucleosome_aggregates,False
F4,WSScore_max,computed_nucleosome_aggregates,False
F4,WSScore_center,computed_nucleosome_aggregates,False
F4,WSScore_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,WSScore_missing,computed_nucleosome_missingness,False
F4,YRScore_mean,computed_nucleosome_aggregates,False
F4,YRScore_std,computed_nucleosome_aggregates,False
F4,YRScore_min,computed_nucleosome_aggregates,False
F4,YRScore_max,computed_nucleosome_aggregates,False
F4,YRScore_center,computed_nucleosome_aggregates,False
F4,YRScore_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,YRScore_missing,computed_nucleosome_missingness,False
F4,NucleotideBDM_mean,computed_nucleosome_aggregates,False
F4,NucleotideBDM_std,computed_nucleosome_aggregates,False
F4,NucleotideBDM_min,computed_nucleosome_aggregates,False
F4,NucleotideBDM_max,computed_nucleosome_aggregates,False
F4,NucleotideBDM_center,computed_nucleosome_aggregates,False
F4,NucleotideBDM_pam_proximal_mean,computed_nucleosome_aggregates,False
F4,NucleotideBDM_missing,computed_nucleosome_missingness,False
F4,StrongWeakBDM_mean,computed_nucleosome_aggregates,False
F4,StrongWeakBDM_std,computed_nucleosome_aggregates,False
F4,StrongWeakBDM_min,computed_nucleosome_aggregates,False
F4,StrongWeakBDM_max,computed_nucleosome_aggregates,False
