model_name,feature_set,split,threshold,rows,positive_rate,f1,mcc,tn,fp,fn,tp
tabular_mlp_balanced_train_weights,F3,test,0.5,1702,0.900705052878966,0.7493091196210028,0.1927428448644753,118,51,584,949
tabular_mlp_balanced_train_weights,F3,val,0.5,1734,0.8713956170703575,0.7607113985448666,0.3530759710034757,201,22,570,941
tabular_mlp_balanced_train_weights,F4,test,0.5,1702,0.900705052878966,0.7572209211553473,0.17348312202792016,110,59,563,970
tabular_mlp_balanced_train_weights,F4,val,0.5,1734,0.8713956170703575,0.7643769968051118,0.31935204506416187,187,36,554,957
