model_name,graph_schema,epoch,train_loss,val_loss,val_auprc,lr,selection_split
gcn_graph_c,graph_c_context_observation,1,0.16828736662864685,0.17518310248851776,0.9368982087819652,0.001,validation
gcn_graph_c,graph_c_context_observation,2,0.15881632268428802,0.15888014435768127,0.9402064133917833,0.001,validation
gcn_graph_c,graph_c_context_observation,3,0.13161297142505646,0.15444636344909668,0.940218874976235,0.001,validation
gcn_graph_c,graph_c_context_observation,4,0.12691453099250793,0.15255476534366608,0.9421543958771411,0.001,validation
gcn_graph_c,graph_c_context_observation,5,0.12342789024114609,0.14889666438102722,0.9444671247033801,0.001,validation
gcn_graph_c,graph_c_context_observation,6,0.11083995550870895,0.16695480048656464,0.9457560362677943,0.001,validation
gcn_graph_c,graph_c_context_observation,7,0.1052226796746254,0.1790233552455902,0.9472974701802755,0.001,validation
gcn_graph_c,graph_c_context_observation,8,0.10556161403656006,0.16752323508262634,0.950418663599879,0.001,validation
gcn_graph_c,graph_c_context_observation,9,0.09321983903646469,0.14474809169769287,0.9538472218415146,0.001,validation
gcn_graph_c,graph_c_context_observation,10,0.08744466304779053,0.13787595927715302,0.9551002082518334,0.001,validation
gcn_graph_c,graph_c_context_observation,11,0.09473906457424164,0.14299216866493225,0.9549505486235006,0.001,validation
gcn_graph_c,graph_c_context_observation,12,0.08412734419107437,0.1600116789340973,0.9548763376299465,0.001,validation
gcn_graph_c,graph_c_context_observation,13,0.0806695818901062,0.1790461242198944,0.9553891872909236,0.001,validation
gcn_graph_c,graph_c_context_observation,14,0.07889364659786224,0.18186862766742706,0.9566566696291162,0.001,validation
gcn_graph_c,graph_c_context_observation,15,0.07764595001935959,0.16874347627162933,0.9582913910562245,0.001,validation
gcn_graph_c,graph_c_context_observation,16,0.07215819507837296,0.15093876421451569,0.9599457277996826,0.001,validation
gcn_graph_c,graph_c_context_observation,17,0.07069092243909836,0.14461220800876617,0.9613423497340957,0.001,validation
gcn_graph_c,graph_c_context_observation,18,0.0730898529291153,0.15679554641246796,0.9625670768649489,0.001,validation
gcn_graph_c,graph_c_context_observation,19,0.06890718638896942,0.17512108385562897,0.9635564211952985,0.001,validation
gcn_graph_c,graph_c_context_observation,20,0.06452963501214981,0.1801813840866089,0.9644673041598333,0.001,validation
gcn_graph_c,graph_c_context_observation,21,0.06777819246053696,0.18036870658397675,0.9649053551195543,0.001,validation
gcn_graph_c,graph_c_context_observation,22,0.06747660040855408,0.16841603815555573,0.9654834577207445,0.001,validation
gcn_graph_c,graph_c_context_observation,23,0.061709173023700714,0.15097954869270325,0.9654685822016075,0.001,validation
gcn_graph_c,graph_c_context_observation,24,0.06070362776517868,0.14293862879276276,0.965865425277176,0.001,validation
gcn_graph_c,graph_c_context_observation,25,0.06256530433893204,0.15678086876869202,0.9665354242252526,0.001,validation
gcn_graph_c,graph_c_context_observation,26,0.06090284883975983,0.176256462931633,0.9665853597829637,0.001,validation
gcn_graph_c,graph_c_context_observation,27,0.059904806315898895,0.1779358685016632,0.9673178209423592,0.001,validation
gcn_graph_c,graph_c_context_observation,28,0.05906039848923683,0.15971189737319946,0.9682783268467842,0.001,validation
gcn_graph_c,graph_c_context_observation,29,0.05846814811229706,0.13701240718364716,0.9685709864684685,0.001,validation
gcn_graph_c,graph_c_context_observation,30,0.05776805430650711,0.139243945479393,0.969034773390562,0.001,validation
gcn_graph_c,graph_c_context_observation,31,0.05944573134183884,0.17500093579292297,0.9697458264584451,0.001,validation
gcn_graph_c,graph_c_context_observation,32,0.055485598742961884,0.1873227059841156,0.9703425029783841,0.001,validation
gcn_graph_c,graph_c_context_observation,33,0.055923137813806534,0.16579154133796692,0.9724865622613545,0.001,validation
gcn_graph_c,graph_c_context_observation,34,0.0560937337577343,0.13256923854351044,0.9746017543671237,0.001,validation
gcn_graph_c,graph_c_context_observation,35,0.05455569177865982,0.11954943090677261,0.9765343590701521,0.001,validation
gcn_graph_c,graph_c_context_observation,36,0.05466407164931297,0.12290695309638977,0.9776190167295602,0.001,validation
gcn_graph_c,graph_c_context_observation,37,0.055470213294029236,0.15660296380519867,0.9767385729181587,0.001,validation
