model_name,graph_schema,feature_set,split,threshold,threshold_selection_split,rows,positive_rate,f1,mcc,tn,fp,fn,tp
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,test,0.07846378535032272,validation,1702,0.900705052878966,0.9486386138613861,0.12655860030922556,3,166,0,1533
gcn_graph_b,graph_b_guide_similarity_control,S1_pair+F1,val,0.07846378535032272,validation,1734,0.8713956170703575,0.9370542635658915,0.28118321332507323,20,203,0,1511
