model_name,graph_schema,epoch,train_loss,val_loss,val_auprc,lr,selection_split
gcn_graph_b,graph_b_guide_similarity_control,1,0.17120885848999023,0.18150298297405243,0.831923479299105,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,2,0.14426985383033752,0.1919383406639099,0.8241373757311862,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,3,0.11335571855306625,0.21096248924732208,0.8238159742870785,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,4,0.10054019838571548,0.20660357177257538,0.8485663613396376,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,5,0.09063653647899628,0.2305503487586975,0.8487625212158543,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,6,0.08062846213579178,0.2328462302684784,0.8509472578824031,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,7,0.07713815569877625,0.216432124376297,0.8536099981744094,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,8,0.0715678334236145,0.2030133754014969,0.857843019553874,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,9,0.07192778587341309,0.196297287940979,0.8605173202589559,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,10,0.06731384992599487,0.1880987584590912,0.889693725841884,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,11,0.06380248069763184,0.18645912408828735,0.896406779061086,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,12,0.06401193886995316,0.18338294327259064,0.8969374975479588,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,13,0.06270577758550644,0.1851675808429718,0.8855619286879084,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,14,0.060545340180397034,0.18845897912979126,0.8712281094633977,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,15,0.06040230393409729,0.18762481212615967,0.8656993364086176,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,16,0.05938855931162834,0.19167044758796692,0.8647120585144159,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,17,0.05797242000699043,0.19932332634925842,0.8653186166331551,0.001,validation
gcn_graph_b,graph_b_guide_similarity_control,18,0.05740588530898094,0.20656365156173706,0.8657793029309768,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,19,0.056068528443574905,0.20524457097053528,0.8656747252417859,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,20,0.05606449395418167,0.2034468948841095,0.8650199501171062,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,21,0.055927153676748276,0.20731869339942932,0.8642461439938768,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,22,0.05524531379342079,0.21287520229816437,0.8639610442903869,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,23,0.05572114884853363,0.21657733619213104,0.8645595403665999,0.0005,validation
gcn_graph_b,graph_b_guide_similarity_control,24,0.05533923953771591,0.21737892925739288,0.8658850565135396,0.00025,validation
gcn_graph_b,graph_b_guide_similarity_control,25,0.05462879315018654,0.214145228266716,0.8674701440649208,0.00025,validation
gcn_graph_b,graph_b_guide_similarity_control,26,0.053934574127197266,0.21014776825904846,0.8696508951655176,0.00025,validation
gcn_graph_b,graph_b_guide_similarity_control,27,0.05421269312500954,0.20510351657867432,0.8723016069452143,0.00025,validation
