run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,1,171,171,1.0,0.8579637854419954
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,2,170,167,0.9823529411764705,0.6873075958560495
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,3,170,169,0.9941176470588236,0.616377884500167
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,4,170,166,0.9764705882352941,0.5657590901150423
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,5,170,166,0.9764705882352941,0.5283053566427792
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,6,170,160,0.9411764705882353,0.49247859313207515
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,7,170,158,0.9294117647058824,0.45955516433014587
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,8,170,149,0.8764705882352941,0.4193412714144763
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,9,170,131,0.7705882352941177,0.3499666923985762
sprint9_multiseed_S8A_R2_seed7_S8A_R2_context_edge_film,S8A_R2_context_edge_film,10,171,96,0.5614035087719298,0.15973830037908246
