run_id,predeclared_run_id,graph_schema,architecture,score_decile,rows,positives,positive_rate,mean_score,min_score,max_score
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,1,171,164,0.9590643274853801,0.9825214903954177,0.9538949131965637,0.9975693821907043
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,2,170,169,0.9941176470588236,0.7075509572730345,0.5746147036552429,0.9504162669181824
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,3,170,170,1.0,0.4699509469901814,0.39238885045051575,0.5739446878433228
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,4,170,170,1.0,0.35709584144984974,0.32879000902175903,0.39227670431137085
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,5,170,169,0.9941176470588236,0.30870432923821844,0.2892032563686371,0.3284882605075836
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,6,170,165,0.9705882352941176,0.2658058092874639,0.24354217946529388,0.28919070959091187
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,7,170,167,0.9823529411764705,0.22717711320694756,0.21369381248950958,0.24321714043617249
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,8,170,162,0.9529411764705882,0.19274327334235697,0.16892243921756744,0.21353040635585785
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,9,170,129,0.7588235294117647,0.14916076125467526,0.13026867806911469,0.16885769367218018
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R1_mask_target_sequence,S7E_R1_mask_target_sequence,graph_c_context_observation,gatv2,10,171,68,0.39766081871345027,0.10608932654760038,0.045395687222480774,0.13024966418743134
