check,expected,observed,abs_diff,atol,pass,blocking,xgboost_version,regenerated_threshold,note
test_rows,1702.0,1702.0,0.0,0.0,True,True,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_guides,29.0,29.0,0.0,0.0,True,True,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_negatives,169.0,169.0,0.0,0.0,True,True,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_auprc_sanity_vs_historical,0.992522,0.9881101978478909,0.004411802152109123,0.002,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_auprc_strict_vs_historical,0.992522,0.9881101978478909,0.004411802152109123,0.0001,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
regen_threshold_vs_historical,0.605734,0.49377796053886414,0.11195603946113586,1e-06,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_tn_vs_historical,38.0,40.0,2.0,0.0,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_fp_vs_historical,131.0,129.0,2.0,0.0,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_fn_vs_historical,21.0,20.0,1.0,0.0,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
test_tp_vs_historical,1512.0,1513.0,1.0,0.0,False,False,3.2.0,0.49377796053886414,option_c_version_drift_accepted
