run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,grna_target_id,rows,positives,negatives,positive_rate,auprc,auroc,mcc,macro_f1,positive_retrieval_rate,negative_retrieval_tnr,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1018,4,4,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,4
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1026,2,2,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1028,15,1,14,0.06666666666666667,0.14285714285714285,0.5714285714285714,0.0,0.4827586206896552,0.0,1.0,14,0,1,0
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1044,13,1,12,0.07692307692307693,0.09090909090909091,0.16666666666666663,0.08333333333333333,0.15384615384615385,1.0,0.08333333333333333,1,11,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,10597,2,2,0,1.0,1.0,,0.0,0.3333333333333333,0.5,,0,0,1,1
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,10599,33,33,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,33
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1060,15,2,13,0.13333333333333333,0.19642857142857142,0.5384615384615384,0.23652495839563303,0.3891402714932127,1.0,0.3076923076923077,4,9,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1088,13,1,12,0.07692307692307693,1.0,1.0,0.15811388300841897,0.2909090909090909,1.0,0.25,3,9,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,10957,4,4,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,4
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,10990,20,20,0,1.0,1.0000000000000002,,0.0,1.0,1.0,,0,0,0,20
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,11012,8,8,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,8
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,11173,145,145,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,145
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1120,15,1,14,0.06666666666666667,0.5,0.9285714285714286,0.37796447300922725,0.5833333333333334,1.0,0.7142857142857143,10,4,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,11299,11,11,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,11
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,11487,13,13,0,1.0,0.9999999999999998,,0.0,1.0,1.0,,0,0,0,13
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,11506,13,5,8,0.38461538461538464,0.6222222222222222,0.65,0.22821773229381923,0.40522875816993464,1.0,0.125,1,7,0,5
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1408,9,0,9,0.0,,,0.0,1.0,,1.0,9,0,0,0
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,1505,48,48,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,48
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,228,12,5,7,0.4166666666666667,0.8583333333333332,0.8571428571428571,0.6831300510639732,0.8125,0.6,1.0,7,0,2,3
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,278,14,14,0,1.0,0.9999999999999998,,0.0,1.0,1.0,,0,0,0,14
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,3265,35,35,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,35
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,3300,120,120,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,120
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,3420,320,320,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,320
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,635,3,3,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,3
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,7696,126,126,0,1.0,0.9999999999999999,,0.0,1.0,1.0,,0,0,0,126
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,804,4,4,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,4
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,8319,101,101,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,101
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,8420,408,408,0,1.0,1.0,,0.0,0.4987714987714988,0.9950980392156863,,0,0,2,406
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,9251,176,96,80,0.5454545454545454,0.6395846676497781,0.558984375,0.0,0.35294117647058826,1.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,1018,4,4,0,1.0,1.0,,0.0,1.0,1.0,,0,0,0,4
