run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,split,threshold,threshold_selection_split,rows,positive_rate,f1,macro_f1,mcc,specificity,tnr,sensitivity,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,test,0.1560085266828537,validation,1702,0.900705052878966,0.960377358490566,0.698938679245283,0.48371907791309793,0.28994082840236685,0.28994082840236685,0.9960861056751468,49,120,6,1527
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,weighted_bce,"{""pos_weight"": ""auto""}",null,baseline_continuity_vs_sprint5_s5f2_energy,0.9769354874465136,0.48371907791309793,0.28994082840236685,val,0.1560085266828537,validation,1734,0.8713956170703575,0.9387628225054399,0.5769511323682578,0.3198119092423385,0.1210762331838565,0.1210762331838565,0.99933818663137,27,196,1,1510
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,test,0.8919926881790161,validation,1702,0.900705052878966,0.9505750699409388,0.5501538451308972,0.23455743139102803,0.08284023668639054,0.08284023668639054,0.9973907371167645,14,155,4,1529
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,bce_unweighted,"{""pos_weight"": 1.0}",null,control_isolates_weighting_effect,0.9492800823871363,0.23455743139102803,0.08284023668639054,val,0.8919926881790161,validation,1734,0.8713956170703575,0.9320086929524992,0.5226845084195695,0.16092540086559823,0.06278026905829596,0.06278026905829596,0.9933818663136995,14,209,10,1501
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,test,0.7117778658866882,validation,1702,0.900705052878966,0.950077519379845,0.525318089298861,0.20583419051803561,0.05325443786982249,0.05325443786982249,0.9993476842791911,9,160,1,1532
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,val,0.7117778658866882,validation,1734,0.8713956170703575,0.9312788906009245,0.46563944530046225,0.0,0.0,0.0,1.0,0,223,0,1511
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,test,0.6946645379066467,validation,1702,0.900705052878966,0.9491945477075588,0.5086881829446885,0.16285134583623057,0.03550295857988166,0.03550295857988166,0.9993476842791911,6,163,1,1532
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,val,0.6946645379066467,validation,1734,0.8713956170703575,0.9312788906009245,0.46563944530046225,0.0,0.0,0.0,1.0,0,223,0,1511
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,test,0.7252034544944763,validation,1702,0.900705052878966,0.9491945477075588,0.5086881829446885,0.16285134583623057,0.03550295857988166,0.03550295857988166,0.9993476842791911,6,163,1,1532
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,focal,"{""alpha"": 0.5, ""gamma"": 2.0}",null,focal_pure_focusing,0.9568034730759204,0.16285134583623057,0.03550295857988166,val,0.7252034544944763,validation,1734,0.8713956170703575,0.9312788906009245,0.46563944530046225,0.0,0.0,0.0,1.0,0,223,0,1511
