run_id,split,rows,positives,negatives,positive_rate,auprc,auprc_inverted,auroc,auroc_inverted,mean_score_positive,mean_score_negative
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,1702,1533,169,0.900705052878966,0.9769354874465136,0.7966850565484748,0.81997244062576,0.1800275593742401,0.5442726984863101,0.287245739383634
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,1734,1511,223,0.8713956170703575,0.9481822241144718,0.7922883053750932,0.7289058117897748,0.2710941882102252,0.43084942446411406,0.28887511562606144
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,1702,1533,169,0.900705052878966,0.9492800823871363,0.8433570280715672,0.6850897609590971,0.3149102390409029,0.9411439515373244,0.9296244224147684
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,1734,1511,223,0.8713956170703575,0.9588004619330972,0.7628746129640664,0.7909856864310453,0.20901431356895472,0.9365425635299329,0.9173684344697961
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,1702,1533,169,0.900705052878966,0.9634968713439838,0.8064955869993811,0.8054362216638298,0.19456377833617033,0.8221369589844795,0.7936953722372563
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,val,1734,1511,223,0.8713956170703575,0.953932363958655,0.7750048689146396,0.7590405783595933,0.24095942164040682,0.8133351642276024,0.7835544695234085
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,test,1702,1533,169,0.900705052878966,0.9623724910400026,0.8102362228727007,0.7953079586377795,0.20469204136222047,0.8179012855049527,0.7885869085436037
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,val,1734,1511,223,0.8713956170703575,0.9480707191580526,0.7845198349075121,0.732280169637902,0.267719830362098,0.807787994964481,0.7779931720062222
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,test,1702,1533,169,0.900705052878966,0.9568034730759204,0.8178181187175351,0.7737313617187167,0.22626863828128319,0.8267483109752881,0.80476504070519
sprint6_loss_comparison_seed42_20260606_182812_S6R4_focal_g2_a50,val,1734,1511,223,0.8713956170703575,0.9544743795621283,0.7735459895838315,0.7667122714443855,0.23328772855561458,0.8175372467145157,0.7921398589429299
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,test,1702,1533,169,0.900705052878966,0.8711738760752983,0.9287634228159599,0.38266229730929413,0.6173377026907059,1.6276349394054168e-07,1.8603269930182751e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R5_dice,val,1734,1511,223,0.8713956170703575,0.9414865680541571,0.8398889198370711,0.6916899389529103,0.30831006104708963,1.6287751866130836e-07,1.1412629170154822e-07
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,test,1702,1533,169,0.900705052878966,0.9558036561873858,0.8383257339139742,0.7100707511666415,0.2899292488333584,0.9554884117643427,0.9456865501827036
sprint6_loss_comparison_seed42_20260606_182812_S6R6_tversky_a70_b30,val,1734,1511,223,0.8713956170703575,0.9753526024628919,0.742431715222699,0.8579030309865174,0.1420969690134826,0.9535390765046853,0.9352120647515951
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,test,1702,1533,169,0.900705052878966,0.9762049328944724,0.7991466001332093,0.8151669194872566,0.18483308051274328,0.5629241504236833,0.32383581951877777
sprint6_loss_comparison_seed42_20260606_182812_S6R7_balanced_sampling,val,1734,1511,223,0.8713956170703575,0.9588641543814249,0.7594235334669618,0.7929592554451214,0.20704074455487856,0.4581287599592158,0.29611398119295657
