run_id,loss,loss_params,sampling,role,test_auprc,test_mcc,test_specificity,split,genome,rows,positive_rate,auprc,auroc,specificity,tnr,mcc,tn,fp,fn,tp
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,test,mm10,80,0.075,0.14409566043712385,0.5945945945945945,0.12162162162162163,0.12162162162162163,-0.03587480016670876,9,65,1,5
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,val,hg19,1368,0.9890350877192983,0.9942439152987311,0.6499630450849962,0.0,0.0,0.0,0,15,0,1353
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,val,hg38,333,0.46546546546546547,0.503453196874234,0.5188111634650237,0.0,0.0,0.0,0,178,0,155
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,val,mm10,22,0.045454545454545456,0.1111111111111111,0.6190476190476191,0.0,0.0,0.0,0,21,0,1
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,focal,"{""alpha"": 0.25, ""gamma"": 2.0}",null,focal_validated_default_lin2017_guan2024,0.9634968713439838,0.20583419051803561,0.05325443786982249,val,rn5,11,0.18181818181818182,0.75,0.8888888888888888,0.0,0.0,0.0,0,9,0,2
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,test,hg19,1446,0.9896265560165975,0.9835053003378693,0.5326345213137665,0.0,0.0,0.0,0,15,0,1431
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,test,hg38,176,0.5454545454545454,0.6629911096831009,0.57109375,0.0,0.0,0.0,0,80,0,96
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,test,mm10,80,0.075,0.14555953766480081,0.6036036036036035,0.08108108108108109,0.08108108108108109,-0.07977772757192705,6,68,1,5
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,val,hg19,1368,0.9890350877192983,0.9945166123473629,0.6587336782458735,0.0,0.0,0.0,0,15,0,1353
sprint6_loss_comparison_seed42_20260606_182812_S6R3_focal_g1_a25,focal,"{""alpha"": 0.25, ""gamma"": 1.0}",null,focal_milder_focusing_gamma_sensitivity,0.9623724910400026,0.16285134583623057,0.03550295857988166,val,hg38,333,0.46546546546546547,0.5020146944495253,0.5156940920623414,0.0,0.0,0.0,0,178,0,155
