run_id,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,1,170,170,0,1.0,0.8915703521055334,0.8329278826713562,0.9862289428710938
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,2,170,170,0,1.0,0.7830874755102045,0.733849287033081,0.8327274918556213
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,3,170,170,0,1.0,0.7022355921128217,0.6669896841049194,0.7330439686775208
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,4,170,169,1,0.9941176470588236,0.6284414512269637,0.5936238765716553,0.6668286323547363
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,5,171,161,10,0.9415204678362573,0.5671262023044609,0.5453079342842102,0.5933965444564819
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,6,170,145,25,0.8529411764705882,0.49741455877528473,0.4329676628112793,0.5452942848205566
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,7,170,144,26,0.8470588235294118,0.3875265065361472,0.3468061089515686,0.4329001009464264
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,8,170,149,21,0.8764705882352941,0.31329979598522184,0.28273847699165344,0.3451819121837616
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,9,170,152,18,0.8941176470588236,0.25036665779702805,0.2159855216741562,0.2821974754333496
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,test,10,171,103,68,0.6023391812865497,0.1682209931749698,0.05599682405591011,0.2157985121011734
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,1,173,170,3,0.9826589595375722,0.8015848201823372,0.7154507040977478,0.9781184792518616
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,2,173,172,1,0.9942196531791907,0.650784359846501,0.5859524607658386,0.7133570909500122
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,3,174,170,4,0.9770114942528736,0.5190965737077011,0.4701664447784424,0.5857039093971252
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,4,173,160,13,0.9248554913294798,0.42690660705456157,0.39767611026763916,0.46800845861434937
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,5,174,159,15,0.9137931034482759,0.37959644712250806,0.36238017678260803,0.3975144624710083
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,6,173,146,27,0.8439306358381503,0.3436120540075909,0.3242347538471222,0.3621532917022705
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,7,173,130,43,0.7514450867052023,0.3031824100224269,0.28635138273239136,0.3240705728530884
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,8,174,133,41,0.764367816091954,0.2738832617285608,0.26205381751060486,0.2862686812877655
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,9,173,135,38,0.7803468208092486,0.24529631461711288,0.2213083654642105,0.2619691491127014
sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,val,10,174,136,38,0.7816091954022989,0.18366633398436952,0.08994895964860916,0.22111645340919495
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,1,170,163,7,0.9588235294117647,0.9681934255010941,0.9619206786155701,0.98203045129776
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,2,170,169,1,0.9941176470588236,0.9542855083942413,0.949890673160553,0.9619036912918091
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,3,170,165,5,0.9705882352941176,0.9476939909598406,0.9459496736526489,0.9498754143714905
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,4,170,155,15,0.9117647058823529,0.944243296104319,0.9425658583641052,0.9459443688392639
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,5,171,155,16,0.9064327485380117,0.9409993507011593,0.939514696598053,0.9425499439239502
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,6,170,149,21,0.8764705882352941,0.9383111483910505,0.9370937943458557,0.9394996166229248
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,7,170,152,18,0.8941176470588236,0.9356625553439645,0.9342910647392273,0.9370794892311096
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,8,170,149,21,0.8764705882352941,0.932713733701145,0.9308117628097534,0.934273362159729
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,9,170,142,28,0.8352941176470589,0.9276392561547896,0.9235410094261169,0.9308003187179565
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,test,10,171,134,37,0.783625730994152,0.9104270213528683,0.8668000102043152,0.9235326647758484
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,1,173,172,1,0.9942196531791907,0.9607838640323264,0.9536458849906921,0.9769172668457031
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,2,173,167,6,0.9653179190751445,0.950673693866399,0.9481604695320129,0.9536294341087341
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,3,174,167,7,0.9597701149425287,0.9462141353508522,0.9443957805633545,0.9481172561645508
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,4,173,163,10,0.9421965317919075,0.9426683156476544,0.9410771131515503,0.9443596601486206
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,5,174,166,8,0.9540229885057471,0.939315052553155,0.9374288320541382,0.941053569316864
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,6,173,159,14,0.9190751445086706,0.9351855802398197,0.9324949383735657,0.9374252557754517
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,7,173,145,28,0.838150289017341,0.9287440173887793,0.9247264862060547,0.9324852824211121
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,8,174,140,34,0.8045977011494253,0.9212387272681313,0.9188953042030334,0.9246847629547119
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,9,173,144,29,0.8323699421965318,0.9164086318429495,0.9121172428131104,0.9188716411590576
sprint6_loss_comparison_seed42_20260606_182812_S6R1_bce_unw,val,10,174,88,86,0.5057471264367817,0.8997072834393074,0.8557906746864319,0.9120541214942932
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,1,170,163,7,0.9588235294117647,0.863107967376709,0.8503693342208862,0.8990663290023804
sprint6_loss_comparison_seed42_20260606_182812_S6R2_focal_g2_a25,test,2,170,166,4,0.9764705882352941,0.8435511476853315,0.8378790020942688,0.8503263592720032
