registry_id,metric,guide,negatives_in_guide,point_estimate,leave_one_guide_value,delta
S7F_R1,auprc,228,7,0.9692010771770274,0.969246551804633,4.547462760562393e-05
S7F_R1,auprc,278,0,0.9692010771770274,0.9688319392040575,-0.0003691379729698907
S7F_R1,auprc,635,0,0.9692010771770274,0.9691173799800982,-8.369719692924438e-05
S7F_R1,auprc,804,0,0.9692010771770274,0.9690893738700909,-0.00011170330693655028
S7F_R1,auprc,1018,0,0.9692010771770274,0.9690970757496384,-0.00010400142738897777
S7F_R1,auprc,1026,0,0.9692010771770274,0.9691472525664193,-5.382461060809973e-05
S7F_R1,auprc,1028,14,0.9692010771770274,0.969254338565511,5.326138848360529e-05
S7F_R1,auprc,1044,12,0.9692010771770274,0.969236910629476,3.583345244861924e-05
S7F_R1,auprc,1060,13,0.9692010771770274,0.969328817560021,0.0001277403829935686
S7F_R1,auprc,1088,12,0.9692010771770274,0.9692267037253761,2.5626548348700595e-05
S7F_R1,auprc,1120,14,0.9692010771770274,0.9693046328714356,0.00010355569440823054
S7F_R1,auprc,1408,9,0.9692010771770274,0.9692074672453758,6.3900683483497644e-06
S7F_R1,auprc,1505,0,0.9692010771770274,0.9688702465667705,-0.00033083061025696026
S7F_R1,auprc,3265,0,0.9692010771770274,0.9682665898023384,-0.0009344873746890414
S7F_R1,auprc,3300,0,0.9692010771770274,0.9649765351028944,-0.004224542074133031
S7F_R1,auprc,3420,0,0.9692010771770274,0.9734556340548457,0.004254556877818283
S7F_R1,auprc,7696,0,0.9692010771770274,0.9655183757845591,-0.0036827013924682905
S7F_R1,auprc,8319,0,0.9692010771770274,0.9663202515774119,-0.002880825599615555
S7F_R1,auprc,8420,0,0.9692010771770274,0.9535784413700001,-0.015622635807027274
S7F_R1,auprc,9251,80,0.9692010771770274,0.9808662594683559,0.011665182291328513
S7F_R1,auprc,10597,0,0.9692010771770274,0.9692077684491327,6.6912721052858615e-06
S7F_R1,auprc,10599,0,0.9692010771770274,0.9682616738123934,-0.0009394033646340505
S7F_R1,auprc,10957,0,0.9692010771770274,0.9690970757496384,-0.00010400142738897777
S7F_R1,auprc,10990,0,0.9692010771770274,0.9693584229194273,0.00015734574239989474
S7F_R1,auprc,11012,0,0.9692010771770274,0.9689953148609763,-0.00020576231605107242
S7F_R1,auprc,11173,0,0.9692010771770274,0.9592848277515573,-0.009916249425470092
S7F_R1,auprc,11299,0,0.9692010771770274,0.9689094586788981,-0.00029161849812930907
S7F_R1,auprc,11487,0,0.9692010771770274,0.9688584694054793,-0.00034260777154815347
S7F_R1,auprc,11506,8,0.9692010771770274,0.9869888459830791,0.017787768806051707
S7F_R1,auroc,228,7,0.8487650389652498,0.84331369982548,-0.005451339139769806
S7F_R1,auroc,278,0,0.8487650389652498,0.8478035612030649,-0.0009614777621849147
