registry_id,predeclared_run_id,run_id,sprint,split,threshold,threshold_selection_split,metric,source_value,replay_value,abs_diff,atol,within_tol
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,macro_f1,0.7771849042975804,0.7771849042975804,0.0,1e-09,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,f1,0.9628205128205128,0.9628205128205128,0.0,1e-09,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,sensitivity,0.9797782126549248,0.9797782126549249,1.1102230246251565e-16,1e-09,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,tn,84.0,84.0,0.0,0.0,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,fp,85.0,85.0,0.0,0.0,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,fn,31.0,31.0,0.0,0.0,True
S7F_R3,S7F_R3_family_aware_experimental_emphasis,sprint7f_target_context_encoder_seed42_20260608_051125_S7F_R3_family_aware_experimental_emphasis,sprint7f,test,0.104111410677433,validation,tp,1502.0,1502.0,0.0,0.0,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,auprc,0.9755959671927964,0.9755959671927963,1.1102230246251565e-16,1e-09,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,auroc,0.9138402868645228,0.9138402868645229,1.1102230246251565e-16,1e-09,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,mcc,0.3661706239462475,0.3661706239462475,0.0,1e-09,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,specificity,0.1597633136094674,0.15976331360946747,5.551115123125783e-17,1e-09,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,macro_f1,0.6139057449101117,0.6139057449101117,0.0,1e-09,True
S8A_R0,S8A_R0_base_reference,sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R0_base_reference,sprint8a,test,0.0473792776465415,validation,f1,0.9550842170929508,0.9550842170929508,0.0,1e-09,True
