model_name,feature_set,feature,family,weight,gain,cover,total_gain,total_cover
xgboost_unweighted,F1,guide_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F1,target_length,sequence_summary,19.0,7.062706470489502,488.4239807128906,134.19142150878906,9280.0556640625
xgboost_unweighted,F1,length_delta,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F1,guide_gc_fraction,sequence_summary,337.0,44.993221282958984,362.64886474609375,15162.7158203125,122212.671875
xgboost_unweighted,F1,target_gc_fraction,sequence_summary,69.0,8.832097053527832,217.97705078125,609.4146728515625,15040.4169921875
xgboost_unweighted,F1,target_pam_gc_fraction,sequence_summary,38.0,4.1763834953308105,260.9922790527344,158.70257568359375,9917.7060546875
xgboost_unweighted,F1,target_protospacer_gc_fraction,sequence_summary,111.0,28.373445510864258,240.98101806640625,3149.452392578125,26748.892578125
xgboost_unweighted,F1,aligned_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_unweighted,F1,mismatch_count,sequence_summary,220.0,13.735947608947754,236.13461303710938,3021.908447265625,51949.61328125
xgboost_unweighted,F1,mismatch_rate,sequence_summary,34.0,7.620493412017822,258.2618103027344,259.0967712402344,8780.9013671875
xgboost_unweighted,F1,mismatch_pos_00,mismatch_position,18.0,4.054928302764893,280.5200500488281,72.98870849609375,5049.36083984375
xgboost_unweighted,F1,mismatch_pos_01,mismatch_position,18.0,4.762143611907959,144.36871337890625,85.71858215332031,2598.636962890625
xgboost_unweighted,F1,mismatch_pos_02,mismatch_position,31.0,4.097359657287598,114.9040756225586,127.01815032958984,3562.0263671875
xgboost_unweighted,F1,mismatch_pos_03,mismatch_position,12.0,3.3093173503875732,234.96900939941406,39.71180725097656,2819.628173828125
xgboost_unweighted,F1,mismatch_pos_04,mismatch_position,47.0,1.7409096956253052,69.02216339111328,81.82275390625,3244.04150390625
xgboost_unweighted,F1,mismatch_pos_05,mismatch_position,25.0,6.298283576965332,223.2431640625,157.45709228515625,5581.0791015625
xgboost_unweighted,F1,mismatch_pos_06,mismatch_position,11.0,4.643344879150391,56.581844329833984,51.0767936706543,622.4002685546875
xgboost_unweighted,F1,mismatch_pos_07,mismatch_position,10.0,5.2597246170043945,142.1648712158203,52.59724807739258,1421.648681640625
xgboost_unweighted,F1,mismatch_pos_08,mismatch_position,20.0,3.7660632133483887,255.81787109375,75.3212661743164,5116.357421875
xgboost_unweighted,F1,mismatch_pos_09,mismatch_position,7.0,4.556589603424072,80.34297943115234,31.89612579345703,562.40087890625
xgboost_unweighted,F1,mismatch_pos_10,mismatch_position,21.0,3.0049386024475098,294.9285888671875,63.10371017456055,6193.50048828125
xgboost_unweighted,F1,mismatch_pos_11,mismatch_position,17.0,17.052175521850586,308.8569030761719,289.8869934082031,5250.5673828125
xgboost_unweighted,F1,mismatch_pos_12,mismatch_position,14.0,6.874828815460205,193.8199462890625,96.24760437011719,2713.479248046875
xgboost_unweighted,F1,mismatch_pos_13,mismatch_position,20.0,5.380273342132568,274.74664306640625,107.60546875,5494.9326171875
xgboost_unweighted,F1,mismatch_pos_14,mismatch_position,24.0,8.498974800109863,300.59197998046875,203.9753875732422,7214.20751953125
xgboost_unweighted,F1,mismatch_pos_15,mismatch_position,35.0,4.649138927459717,159.3726043701172,162.71986389160156,5578.041015625
xgboost_unweighted,F1,mismatch_pos_16,mismatch_position,56.0,10.019818305969238,244.5516357421875,561.1098022460938,13694.8916015625
xgboost_unweighted,F1,mismatch_pos_17,mismatch_position,26.0,2.51302433013916,55.029052734375,65.33863067626953,1430.75537109375
xgboost_unweighted,F1,mismatch_pos_18,mismatch_position,21.0,4.315980434417725,140.1995391845703,90.63558959960938,2944.190185546875
xgboost_unweighted,F1,mismatch_pos_19,mismatch_position,25.0,4.118894577026367,302.07061767578125,102.97236633300781,7551.76513671875
xgboost_unweighted,F1,mismatch_pos_20,mismatch_position,16.0,2.105210304260254,312.3083190917969,33.68336486816406,4996.93310546875
xgboost_unweighted,F1,mismatch_pos_21,mismatch_position,13.0,3.4718334674835205,108.91345977783203,45.13383483886719,1415.875
xgboost_unweighted,F1,mismatch_pos_22,mismatch_position,28.0,4.444865703582764,213.10952758789062,124.45623779296875,5967.06689453125
xgboost_balanced_train_weights,F1,guide_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F1,target_length,sequence_summary,0.0,0.0,0.0,0.0,0.0
xgboost_balanced_train_weights,F1,length_delta,sequence_summary,0.0,0.0,0.0,0.0,0.0
