model_name,feature_set,split,genome,rows,positives,negatives,positive_rate,auprc,auroc,mean_score_positive,mean_score_negative,mean_score
xgboost_unweighted,F1,test,hg19,1446,1431,15,0.9896265560165975,0.980348459123045,0.14959235965525275,0.6575433622491185,0.9213359276453654,0.6602797996494945
xgboost_unweighted,F1,test,hg38,176,96,80,0.5454545454545454,0.5499500602551126,0.4690104166666666,0.9113917214175066,0.9187716178596019,0.9147462198002771
xgboost_unweighted,F1,test,mm10,80,6,74,0.075,0.19365944653723557,0.704954954954955,0.8038506011168162,0.6728523764255885,0.6826772432774305
xgboost_unweighted,F1,val,hg19,1368,1353,15,0.9890350877192983,0.9948781728008046,0.7114806602611481,0.7785940354652785,0.6583751420180003,0.7772758458441461
xgboost_unweighted,F1,val,hg38,333,155,178,0.46546546546546547,0.48339463533409677,0.5335447625951432,0.509514828266636,0.49715473678674593,0.5029079325206287
xgboost_unweighted,F1,val,mm10,22,1,21,0.045454545454545456,0.14285714285714285,0.7142857142857143,0.4621533453464508,0.43086096786317374,0.4322833486578681
xgboost_unweighted,F1,val,rn5,11,2,9,0.18181818181818182,0.8333333333333333,0.9444444444444444,0.9729373753070831,0.9114752411842346,0.9226501746611162
xgboost_unweighted,F2,test,hg19,1446,1431,15,0.9896265560165975,0.9835051565671074,0.203214535290007,0.8458997228193916,0.8874282717704773,0.8463305168956476
xgboost_unweighted,F2,test,hg38,176,96,80,0.5454545454545454,0.5642937152157467,0.5352213541666666,0.8863255164275566,0.8829181268811226,0.8847767029973593
xgboost_unweighted,F2,test,mm10,80,6,74,0.075,0.11825117370892019,0.6385135135135135,0.8612975378831228,0.8427813568630734,0.8441700704395771
xgboost_unweighted,F2,val,hg19,1368,1353,15,0.9890350877192983,0.9979007435816102,0.864350825326435,0.8604938702854684,0.8149065971374512,0.859994009834284
xgboost_unweighted,F2,val,hg38,333,155,178,0.46546546546546547,0.4908922085620078,0.5413736861181587,0.8127428723919776,0.810284064057168,0.8114285544232205
xgboost_unweighted,F2,val,mm10,22,1,21,0.045454545454545456,0.045454545454545456,0.09523809523809523,0.795860767364502,0.8114893777029855,0.8107789863239635
xgboost_unweighted,F2,val,rn5,11,2,9,0.18181818181818182,0.3333333333333333,0.7222222222222222,0.8486948013305664,0.8439593580034044,0.8448203476992521
xgboost_unweighted,F3,test,hg19,1446,1431,15,0.9896265560165975,0.9917262906366039,0.5494525972513394,0.9143573210986655,0.9184014439582825,0.9143992725806117
xgboost_unweighted,F3,test,hg38,176,96,80,0.5454545454545454,0.6150577389424747,0.5322916666666667,0.6654667487988869,0.6538433834910393,0.6601834009316835
xgboost_unweighted,F3,test,mm10,80,6,74,0.075,0.19487335359675784,0.7162162162162162,0.5627864201863607,0.4442450835092648,0.453135683760047
xgboost_unweighted,F3,val,hg19,1368,1353,15,0.9890350877192983,0.9962752955350269,0.7365853658536585,0.9311249111417657,0.8788718362649282,0.9305519607593442
xgboost_unweighted,F3,val,hg38,333,155,178,0.46546546546546547,0.49199082964012697,0.5282167451975354,0.2852254483007616,0.2789441327030739,0.28186786819148707
xgboost_unweighted,F3,val,mm10,22,1,21,0.045454545454545456,0.0625,0.2857142857142857,0.24518968164920807,0.3083502118076597,0.30547927861863916
xgboost_unweighted,F3,val,rn5,11,2,9,0.18181818181818182,0.2777777777777778,0.5,0.5492151975631714,0.5449505117204454,0.5457259091463956
xgboost_unweighted,F4,test,hg19,1446,1431,15,0.9896265560165975,0.9971632657593679,0.7696249708828325,0.9294672152697832,0.8909713864326477,0.9290678809457465
xgboost_unweighted,F4,test,hg38,176,96,80,0.5454545454545454,0.6029426317630858,0.5616536458333333,0.6703343068559965,0.6611065477132797,0.6661398708820343
xgboost_unweighted,F4,test,mm10,80,6,74,0.075,0.14417402089523115,0.6114864864864863,0.6478053033351898,0.6205457408685942,0.6225902080535889
xgboost_unweighted,F4,val,hg19,1368,1353,15,0.9890350877192983,0.9952321166975842,0.6702882483370288,0.9266888809397937,0.9136078357696533,0.9265454484269633
xgboost_unweighted,F4,val,hg38,333,155,178,0.46546546546546547,0.4934047805589418,0.5437839797027909,0.578862569409032,0.5785542482070709,0.5786977610788546
xgboost_unweighted,F4,val,mm10,22,1,21,0.045454545454545456,0.047619047619047616,0.380952380952381,0.5623032450675964,0.5712432038216364,0.5708368420600891
xgboost_unweighted,F4,val,rn5,11,2,9,0.18181818181818182,0.3333333333333333,0.6666666666666667,0.6382843255996704,0.6243439250522189,0.6268785433335737
