model_name,feature_set,split,score_decile,rows,positives,negatives,positive_rate,mean_score,min_score,max_score
sequence_cnn_unweighted,S1,test,1,170,161,9,0.9470588235294117,0.5473632332156686,0.5454922914505005,0.5523704886436462
sequence_cnn_unweighted,S1,test,2,170,160,10,0.9411764705882353,0.5442690123529995,0.5433399677276611,0.5454263091087341
sequence_cnn_unweighted,S1,test,3,170,154,16,0.9058823529411765,0.5426332957604352,0.542024552822113,0.5433269143104553
sequence_cnn_unweighted,S1,test,4,170,152,18,0.8941176470588236,0.5414485345868504,0.5408394932746887,0.5420094728469849
sequence_cnn_unweighted,S1,test,5,171,151,20,0.8830409356725146,0.5402329072617648,0.539667546749115,0.5408317446708679
sequence_cnn_unweighted,S1,test,6,170,143,27,0.8411764705882353,0.5390151616405038,0.5383396148681641,0.5396624803543091
sequence_cnn_unweighted,S1,test,7,170,150,20,0.8823529411764706,0.5375971310278949,0.5368825197219849,0.538333535194397
sequence_cnn_unweighted,S1,test,8,170,150,20,0.8823529411764706,0.5358913894961862,0.5348494648933411,0.536879301071167
sequence_cnn_unweighted,S1,test,9,170,148,22,0.8705882352941177,0.5334712922573089,0.5311930179595947,0.5348296165466309
sequence_cnn_unweighted,S1,test,10,171,164,7,0.9590643274853801,0.527636696720681,0.522348165512085,0.5311437249183655
sequence_cnn_unweighted,S1,val,1,173,161,12,0.930635838150289,0.5472582220342118,0.5450462698936462,0.554996907711029
sequence_cnn_unweighted,S1,val,2,173,159,14,0.9190751445086706,0.5439985625316642,0.5431524515151978,0.5450136065483093
sequence_cnn_unweighted,S1,val,3,174,160,14,0.9195402298850575,0.5424377692156824,0.5417541861534119,0.5431471467018127
sequence_cnn_unweighted,S1,val,4,173,154,19,0.8901734104046243,0.5411523387611257,0.5406062006950378,0.5417531132698059
sequence_cnn_unweighted,S1,val,5,174,154,20,0.8850574712643678,0.5401362410221977,0.5396295189857483,0.5406039357185364
sequence_cnn_unweighted,S1,val,6,173,151,22,0.8728323699421965,0.5391399519291916,0.5386330485343933,0.5396295189857483
sequence_cnn_unweighted,S1,val,7,173,144,29,0.8323699421965318,0.537930257058557,0.537303626537323,0.5386290550231934
sequence_cnn_unweighted,S1,val,8,174,150,24,0.8620689655172413,0.5365149341095453,0.5357558131217957,0.5372987985610962
sequence_cnn_unweighted,S1,val,9,173,153,20,0.884393063583815,0.5348403560632915,0.533846914768219,0.5357505083084106
sequence_cnn_unweighted,S1,val,10,174,125,49,0.7183908045977011,0.5318583650835629,0.5235320925712585,0.5338302850723267
