model_name,feature_set,split,genome,rows,positives,negatives,positive_rate,auprc,auroc,mean_score_positive,mean_score_negative,mean_score
logistic_regression,F1,test,hg19,1446,1431,15,0.9896265560165975,0.9855742645912373,0.30170044258094575,0.8135115882433244,0.9076599169115556,0.8144882306568954
logistic_regression,F1,test,hg38,176,96,80,0.5454545454545454,0.5645116014383854,0.490625,0.8542538837639185,0.8602586992725534,0.8569833453587524
logistic_regression,F1,test,mm10,80,6,74,0.075,0.0781896804521965,0.46621621621621623,0.8335529859852923,0.8347155805990923,0.8346283860030574
logistic_regression,F1,val,hg19,1368,1353,15,0.9890350877192983,0.9969309659202847,0.8449864498644987,0.8415873829064834,0.5748313095997071,0.8386624259623302
logistic_regression,F1,val,hg38,333,155,178,0.46546546546546547,0.5059992700107037,0.540268213120696,0.781010845878294,0.7671896463992866,0.7736229374480736
logistic_regression,F1,val,mm10,22,1,21,0.045454545454545456,0.2,0.8095238095238095,0.8198987557749757,0.688807382186231,0.6947660809857195
logistic_regression,F1,val,rn5,11,2,9,0.18181818181818182,0.625,0.6666666666666667,0.873395944634926,0.8294840905339231,0.8374680640068326
logistic_regression,F2,test,hg19,1446,1431,15,0.9896265560165975,0.9813747721667465,0.18802702073142327,0.8394136267876233,0.9471905821967808,0.840531644997262
logistic_regression,F2,test,hg38,176,96,80,0.5454545454545454,0.5874048765740298,0.511328125,0.907849711865206,0.9091107983998468,0.9084229330173155
logistic_regression,F2,test,mm10,80,6,74,0.075,0.12362712486648722,0.5045045045045045,0.8499965536281137,0.8413628801459013,0.8420104056570672
logistic_regression,F2,val,hg19,1368,1353,15,0.9890350877192983,0.9976516305064351,0.8397634885439764,0.8694840741350987,0.6963061958959681,0.8675851938912486
logistic_regression,F2,val,hg38,333,155,178,0.46546546546546547,0.5040905074589515,0.5390721275824575,0.8502456435126086,0.8421858167532598,0.845937387767371
logistic_regression,F2,val,mm10,22,1,21,0.045454545454545456,0.25,0.8571428571428572,0.8818840027890474,0.6881370288000996,0.6969437094359608
logistic_regression,F2,val,rn5,11,2,9,0.18181818181818182,0.375,0.6111111111111112,0.34462301279047464,0.31109304620015116,0.3171894037620282
logistic_regression,F3,test,hg19,1446,1431,15,0.9896265560165975,0.9802482414865896,0.20149079897507569,0.8633063683846152,0.9511734517776195,0.8642178526521777
logistic_regression,F3,test,hg38,176,96,80,0.5454545454545454,0.5918636885328203,0.512109375,0.8983835840597495,0.8990595444768286,0.8986908387947856
logistic_regression,F3,test,mm10,80,6,74,0.075,0.12259922298737637,0.4954954954954955,0.8381401411596069,0.8302943253075099,0.8308827614964173
logistic_regression,F3,val,hg19,1368,1353,15,0.9890350877192983,0.9957940044125035,0.7493471298349348,0.8923070201057001,0.7623511235796633,0.8908820650999321
logistic_regression,F3,val,hg38,333,155,178,0.46546546546546547,0.49597254819246905,0.535628851032983,0.8411509943645725,0.832753626653956,0.8366623113240628
logistic_regression,F3,val,mm10,22,1,21,0.045454545454545456,0.25,0.8571428571428572,0.8678763253690285,0.671193051048452,0.6801331998812055
logistic_regression,F3,val,rn5,11,2,9,0.18181818181818182,0.375,0.6111111111111112,0.3288777237582797,0.3029827537078724,0.3076909300806738
logistic_regression,F4,test,hg19,1446,1431,15,0.9896265560165975,0.9798948367164793,0.16659678546471,0.8438481592204216,0.9639418159853339,0.8450939440416345
logistic_regression,F4,test,hg38,176,96,80,0.5454545454545454,0.5721998595886841,0.5113281249999999,0.8674534442169167,0.864024010380712,0.8658946106550054
logistic_regression,F4,test,mm10,80,6,74,0.075,0.10802409333995355,0.5112612612612613,0.7953772355369418,0.7790502191600442,0.7802747453883115
logistic_regression,F4,val,hg19,1368,1353,15,0.9890350877192983,0.9956515178564125,0.7397388519339738,0.8755191563409621,0.7299620560934816,0.8739231355049152
logistic_regression,F4,val,hg38,333,155,178,0.46546546546546547,0.5020242587171561,0.5380935121420805,0.8025164029619084,0.7843773279884205,0.7928204409640679
logistic_regression,F4,val,mm10,22,1,21,0.045454545454545456,0.16666666666666666,0.7619047619047619,0.8745062467439152,0.6278586831103239,0.6390699360027599
logistic_regression,F4,val,rn5,11,2,9,0.18181818181818182,0.2777777777777778,0.5,0.31896799895098316,0.30392248819606577,0.3066580356060507
