analysis_model_id,split,label,rows,mean_score,median_score,std_score,q05_score,q25_score,q75_score,q95_score
graph_a_gcn_s6_weighted_bce,val,1,1511,0.43084942446411406,0.3781143128871918,0.18818031514775396,0.20185489207506174,0.2818315923213959,0.5564893186092377,0.7988282144069672
graph_a_gcn_s6_weighted_bce,val,0,223,0.28887511562606144,0.2809585034847259,0.10888173096856456,0.11403509825468057,0.24609763920307154,0.33436039090156555,0.42448679208755485
graph_a_gcn_s6_weighted_bce,test,1,1533,0.5442726984863101,0.5644981265068054,0.22058460328984558,0.20597380399703974,0.3376181721687317,0.7176663875579834,0.887681496143341
graph_a_gcn_s6_weighted_bce,test,0,169,0.287245739383634,0.276453286409378,0.15038551710256526,0.06602167189121244,0.148217037320137,0.4119345247745514,0.5469210863113403
graph_a_gatv2_s7,val,1,1511,0.3985719042605197,0.3689284026622772,0.20558290233769022,0.12026832997798914,0.2751404345035553,0.4612360745668411,0.9117851853370667
graph_a_gatv2_s7,val,0,223,0.14019769343292762,0.1231602877378463,0.10108737258330917,0.07761121243238442,0.10405134409666056,0.1438932716846466,0.20807845890521978
graph_a_gatv2_s7,test,1,1533,0.5298516671552972,0.4992075562477112,0.24139843229100674,0.2249163866043091,0.3476077318191528,0.6374230980873108,0.9565088987350463
graph_a_gatv2_s7,test,0,169,0.2862739955356135,0.2492429316043853,0.18488978748632184,0.10387389510869974,0.1558810025453567,0.3520284295082092,0.5370728254318234
graph_c_gcn_s5b,val,1,1511,0.5299491830537506,0.53514564037323,0.26536160224235383,0.09489645808935165,0.3195362687110901,0.7299524247646332,0.9961763024330139
graph_c_gcn_s5b,val,0,223,0.1618014907865313,0.1156124472618103,0.13595149250800995,0.05688979513943189,0.08055341243743891,0.1865299493074417,0.4656790941953654
graph_c_gcn_s5b,test,1,1533,0.5795587735263957,0.60774827003479,0.289521589467257,0.1387424111366272,0.3102010190486908,0.8183367252349854,0.9994353413581849
graph_c_gcn_s5b,test,0,169,0.2299078158957101,0.1707194596529007,0.22687904020994112,0.02292948924005024,0.0704647749662399,0.3008570671081543,0.7164725184440609
graph_b_gcn_s7b,val,1,1511,0.4286428953759486,0.3751394748687744,0.18187549107763115,0.20766126364469523,0.28636136651039124,0.5452073216438293,0.7988517582416534
graph_b_gcn_s7b,val,0,223,0.2813376936009112,0.2699125707149505,0.10214421219854013,0.12323487699031824,0.23738608509302134,0.3269973844289779,0.4176162540912628
graph_b_gcn_s7b,test,1,1533,0.5351701984054422,0.5674512386322021,0.20429451396913553,0.21485813856124875,0.35429647564888,0.6742028594017029,0.8755763053894041
graph_b_gcn_s7b,test,0,169,0.30958841882161137,0.3050452768802643,0.16122441344481156,0.08341448903083795,0.1568893939256668,0.4505814909934997,0.5796660423278808
graph_b_gatv2_s7b,val,1,1511,0.5011386769551914,0.5378488898277283,0.2602066474658161,0.15046627819538114,0.2397164851427078,0.7089225351810455,0.9087971150875092
graph_b_gatv2_s7b,val,0,223,0.30650472184935496,0.2802866101264953,0.1828070449461288,0.04329575635492795,0.1703974604606628,0.4416869133710861,0.6194642663002013
graph_b_gatv2_s7b,test,1,1533,0.6352516050582335,0.7949198484420776,0.29496325620479036,0.16565992236137386,0.3258076906204223,0.8885612487792969,0.9618979096412658
graph_b_gatv2_s7b,test,0,169,0.2605897915389764,0.2506867945194244,0.1718513214038409,0.051339715719223,0.0842319577932357,0.3886658251285553,0.54710533618927
graph_c_gatv2_s7b,val,1,1511,0.3549756232986854,0.2874442636966705,0.23969871117429561,0.06953330710530276,0.21440011262893674,0.41900742053985596,0.9923514127731323
graph_c_gatv2_s7b,val,0,223,0.1066848678188607,0.0831828489899635,0.10453033150929401,0.04609083198010913,0.059159982949495246,0.10897246003150934,0.23081038296222683
graph_c_gatv2_s7b,test,1,1533,0.482655840041936,0.3955165445804596,0.30850714662949713,0.14645620882511134,0.2016555964946746,0.7527614235877991,0.9991866707801819
graph_c_gatv2_s7b,test,0,169,0.1750271338859253,0.1268254518508911,0.20874998358828317,0.02821861356496806,0.0382877103984355,0.2019408792257309,0.5191441893577571
