model_name,graph_schema,feature_set,split,threshold,threshold_selection_split,rows,positive_rate,f1,macro_f1,mcc,specificity,sensitivity,tn,fp,fn,tp
gcn_graph_c_sprint5b_energy,graph_c_context_observation,GraphCContext+S5F2_energy,test,0.029093753546476364,validation,1702,0.900705052878966,0.9518782986650108,0.5524418815729426,0.2742871878127822,0.08284023668639054,1.0,14,155,0,1533
gcn_graph_c_sprint5b_energy,graph_c_context_observation,GraphCContext+S5F2_energy,val,0.029093753546476364,validation,1734,0.8713956170703575,0.932716049382716,0.48828784925276153,0.13998042449033782,0.02242152466367713,1.0,5,218,0,1511
