model_name,graph_schema,epoch,train_loss,val_loss,val_auprc,lr,selection_split
gcn_graph_c_sprint5b_energy,graph_c_context_observation,1,0.15480150282382965,0.16218878328800201,0.9247752551630923,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,2,0.12999817728996277,0.15898260474205017,0.929758193477652,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,3,0.11533817648887634,0.1644313782453537,0.9349756916094893,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,4,0.1100522056221962,0.18755409121513367,0.9351088684758029,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,5,0.1010439544916153,0.16707302629947662,0.9367894156604849,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,6,0.09966346621513367,0.16417011618614197,0.9380807886059008,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,7,0.08562272042036057,0.16465383768081665,0.9389065210112167,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,8,0.08325640857219696,0.18501700460910797,0.9385959961118688,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,9,0.08124767243862152,0.17403213679790497,0.9397492983474445,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,10,0.0754266083240509,0.15491360425949097,0.9431297316104733,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,11,0.07291406393051147,0.15511532127857208,0.9462513602725878,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,12,0.07369820773601532,0.1889496147632599,0.9462077405042246,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,13,0.06861907243728638,0.2015785574913025,0.9458019955693235,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,14,0.06838036328554153,0.1771726906299591,0.946307768928243,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,15,0.06357324868440628,0.15854091942310333,0.9462279938379815,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,16,0.06575844436883926,0.16821587085723877,0.9473932198175629,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,17,0.06256220489740372,0.17999707162380219,0.9478894822226671,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,18,0.06376586854457855,0.18787996470928192,0.9469541503460982,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,19,0.06218649074435234,0.20015010237693787,0.9444492005558855,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,20,0.06106564775109291,0.177144393324852,0.9450992399871628,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,21,0.058547504246234894,0.16307179629802704,0.9476619808798752,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,22,0.06033051013946533,0.16524595022201538,0.9517578288844832,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,23,0.05731939151883125,0.17851239442825317,0.9574270747372583,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,24,0.05680542439222336,0.17745664715766907,0.9630370995452433,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,25,0.05550462752580643,0.1637398600578308,0.9671010921309385,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,26,0.055082693696022034,0.16094592213630676,0.9692400074295204,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,27,0.05463806912302971,0.15385694801807404,0.9707130540933802,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,28,0.054619770497083664,0.15013760328292847,0.9717058922783582,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,29,0.052647002041339874,0.16022340953350067,0.971942700445622,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,30,0.053308311849832535,0.15497620403766632,0.9714488328941941,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,31,0.05190274491906166,0.14449945092201233,0.9708007611261826,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,32,0.05208934098482132,0.1299525797367096,0.9708465603247851,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,33,0.05211298167705536,0.1464795470237732,0.9734048602682801,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,34,0.05115066468715668,0.16605786979198456,0.9752704615541741,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,35,0.051577094942331314,0.1405058354139328,0.9766478690742884,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,36,0.05029699206352234,0.12978224456310272,0.9777047801815131,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,37,0.04981689527630806,0.13552342355251312,0.9787541671989525,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,38,0.04824831709265709,0.13069632649421692,0.9792057112083119,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,39,0.049373891204595566,0.12391626834869385,0.9792831918983105,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,40,0.04891757667064667,0.14677794277668,0.9776293267543937,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,41,0.05022210627794266,0.13898268342018127,0.9784248960256043,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,42,0.04747454822063446,0.11981195211410522,0.9797949687398008,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,43,0.047925353050231934,0.1269233077764511,0.9793376841004269,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,44,0.04653482884168625,0.143464595079422,0.9784075347632072,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,45,0.04835454374551773,0.12469110637903214,0.9799807333435576,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,46,0.048096053302288055,0.1323976367712021,0.9796731829884902,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,47,0.047140415757894516,0.11699080467224121,0.9804761806288674,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,48,0.046969469636678696,0.12170151621103287,0.980102210793756,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,49,0.04629979282617569,0.1272144615650177,0.9792801087177457,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,50,0.046002574265003204,0.11839228868484497,0.9787493608875051,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,51,0.04506004974246025,0.11770370602607727,0.9782457414595507,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,52,0.04499242082238197,0.11535633355379105,0.9778489575503212,0.001,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,53,0.0448593869805336,0.11720369756221771,0.9785582873665192,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,54,0.04425741732120514,0.12527509033679962,0.9788038243543604,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,55,0.04469417408108711,0.1234327033162117,0.9788994636869481,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,56,0.044889483600854874,0.12602636218070984,0.9786242559318337,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,57,0.04415757954120636,0.11989398300647736,0.9785077273259422,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,58,0.04486091062426567,0.10951149463653564,0.978263229484421,0.0005,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,59,0.044262997806072235,0.11468814313411713,0.9781967867026259,0.00025,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,60,0.04383876174688339,0.11975017935037613,0.9781765662722608,0.00025,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,61,0.04378283768892288,0.12077515572309494,0.9783109678516828,0.00025,validation
gcn_graph_c_sprint5b_energy,graph_c_context_observation,62,0.04435029625892639,0.11916610598564148,0.9787181653757173,0.00025,validation
