run_id,predeclared_run_id,split,graph_schema,target_observation_mask_families,masked_column_count,masked_column_indexes,masked_column_names,target_observation_feature_dim,masked_feature_abs_sum_before_mask,masked_feature_abs_sum_after_mask,unmasked_feature_abs_sum_after_mask,drop_context_similarity_edges,context_edges_available,context_edges_used,attention_edges,attention_edge_attr_dim,candidate_attention_attr_abs_sum,context_attention_attr_abs_sum,classifier_candidate_edge_attr_dim,classifier_candidate_edge_attr_abs_sum
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R5_mask_all_nonsequence_context,S7E_R5_mask_all_nonsequence_context,train,graph_c_context_observation,all_nonsequence_context,97,"115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase,feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__GCContent_missing,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__WSScore_missing,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__YRScore_missing,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__NucleotideBDM_missing,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__StrongWeakBDM_missing,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Occup_147_human_missing,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_missing,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_missing,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_missing,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_missing,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_missing,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__VanDerHeijden_missing,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean,feature__LeNupH3Q85C_missing",212,507457.25,0.0,184230.0,True,59450,0,16020,268,3089287.5,0.0,268,1544643.875
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R5_mask_all_nonsequence_context,S7E_R5_mask_all_nonsequence_context,val,graph_c_context_observation,all_nonsequence_context,97,"115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase,feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__GCContent_missing,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__WSScore_missing,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__YRScore_missing,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__NucleotideBDM_missing,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__StrongWeakBDM_missing,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Occup_147_human_missing,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_missing,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_missing,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_missing,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_missing,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_missing,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__VanDerHeijden_missing,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean,feature__LeNupH3Q85C_missing",212,615077.375,0.0,224112.0,True,75822,0,19488,268,3754709.0,0.0,268,1877354.5
sprint7e_target_context_subgroup_seed42_20260607_213909_S7E_R5_mask_all_nonsequence_context,S7E_R5_mask_all_nonsequence_context,test,graph_c_context_observation,all_nonsequence_context,97,"115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211","feature__epigen_ctcf,feature__epigen_dnase,feature__epigen_rrbs,feature__epigen_h3k4me3,feature__epigen_drip,feature__MNase,feature__GCContent_mean,feature__GCContent_std,feature__GCContent_min,feature__GCContent_max,feature__GCContent_center,feature__GCContent_pam_proximal_mean,feature__GCContent_missing,feature__WSScore_mean,feature__WSScore_std,feature__WSScore_min,feature__WSScore_max,feature__WSScore_center,feature__WSScore_pam_proximal_mean,feature__WSScore_missing,feature__YRScore_mean,feature__YRScore_std,feature__YRScore_min,feature__YRScore_max,feature__YRScore_center,feature__YRScore_pam_proximal_mean,feature__YRScore_missing,feature__NucleotideBDM_mean,feature__NucleotideBDM_std,feature__NucleotideBDM_min,feature__NucleotideBDM_max,feature__NucleotideBDM_center,feature__NucleotideBDM_pam_proximal_mean,feature__NucleotideBDM_missing,feature__StrongWeakBDM_mean,feature__StrongWeakBDM_std,feature__StrongWeakBDM_min,feature__StrongWeakBDM_max,feature__StrongWeakBDM_center,feature__StrongWeakBDM_pam_proximal_mean,feature__StrongWeakBDM_missing,feature__NuPoP_Occup_147_human_mean,feature__NuPoP_Occup_147_human_std,feature__NuPoP_Occup_147_human_min,feature__NuPoP_Occup_147_human_max,feature__NuPoP_Occup_147_human_center,feature__NuPoP_Occup_147_human_pam_proximal_mean,feature__NuPoP_Occup_147_human_missing,feature__NuPoP_Viterbi_147_human_mean,feature__NuPoP_Viterbi_147_human_std,feature__NuPoP_Viterbi_147_human_min,feature__NuPoP_Viterbi_147_human_max,feature__NuPoP_Viterbi_147_human_center,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,feature__NuPoP_Viterbi_147_human_missing,feature__NuPoP_Affinity_147_human_mean,feature__NuPoP_Affinity_147_human_std,feature__NuPoP_Affinity_147_human_min,feature__NuPoP_Affinity_147_human_max,feature__NuPoP_Affinity_147_human_center,feature__NuPoP_Affinity_147_human_pam_proximal_mean,feature__NuPoP_Affinity_147_human_missing,feature__nuCpos_Occup_147_yeast_mean,feature__nuCpos_Occup_147_yeast_std,feature__nuCpos_Occup_147_yeast_min,feature__nuCpos_Occup_147_yeast_max,feature__nuCpos_Occup_147_yeast_center,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,feature__nuCpos_Occup_147_yeast_missing,feature__nuCpos_Viterbi_147_yeast_mean,feature__nuCpos_Viterbi_147_yeast_std,feature__nuCpos_Viterbi_147_yeast_min,feature__nuCpos_Viterbi_147_yeast_max,feature__nuCpos_Viterbi_147_yeast_center,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,feature__nuCpos_Viterbi_147_yeast_missing,feature__nuCpos_Affinity_147_yeast_mean,feature__nuCpos_Affinity_147_yeast_std,feature__nuCpos_Affinity_147_yeast_min,feature__nuCpos_Affinity_147_yeast_max,feature__nuCpos_Affinity_147_yeast_center,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,feature__nuCpos_Affinity_147_yeast_missing,feature__VanDerHeijden_mean,feature__VanDerHeijden_std,feature__VanDerHeijden_min,feature__VanDerHeijden_max,feature__VanDerHeijden_center,feature__VanDerHeijden_pam_proximal_mean,feature__VanDerHeijden_missing,feature__LeNupH3Q85C_mean,feature__LeNupH3Q85C_std,feature__LeNupH3Q85C_min,feature__LeNupH3Q85C_max,feature__LeNupH3Q85C_center,feature__LeNupH3Q85C_pam_proximal_mean,feature__LeNupH3Q85C_missing",212,614295.375,0.0,223376.0,True,75382,0,19424,268,3711804.5,0.0,268,1855902.25
