run_id,predeclared_run_id,run_order,role,source,source_batch,sprint,graph_schema,architecture,feature_set,loss,target_context_encoder_type,context_edge_interaction,sequence_context_mode,sequence_embed_dim,from_scratch,external_pretrained_weights,test_positive_rate,best_val_auprc,test_auprc,test_auroc,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp,parameter_count,active_parameter_count,label_scheme,split_id,seed,training_regime,model_name,visibility_policy,target_node_representation,checkpoint_policy,checkpoint_selection_split,threshold_policy,threshold_selection_split,threshold,best_epoch,epochs_ran,edge_feature_sets,edge_feature_columns,edge_aware_attention,attention_heads,attention_concat,attention_dropout,self_loop_edge_fill,gatv2_share_weights,drop_context_similarity_edges,edge_blind_candidate_attention,mask_target_observation_features,target_observation_mask_families,family_gate,experimental_branch_bottleneck,experimental_branch_feature_dropout,interaction_edge_dim,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,graph_artifact_manifest_schema,graph_artifact_split_id,weighted_bce_pos_weight,use_compile,use_amp,target_semantics,notes,val_rows,val_positive_rate,val_auprc,val_auroc,val_f1,val_macro_f1,val_mcc,val_specificity,val_sensitivity,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_rows,test_f1,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct,sequence_conv_channels,sequence_conv_kernel,sequence_lstm_hidden,sequence_dropout
sprint8b_sequence_context_seed42_20260612_220002_S8B_R0_reference,S8B_R0_reference,0,carry_forward_s8a_r2_no_retrain,Sprint 8A R2 context-edge FiLM validation-selected candidate,sprint8a_target_context_interaction_seed42_20260611_011416,sprint8b,graph_c_context_observation,gatv2,S5F2_energy,weighted_bce,family_aware_experimental_emphasis,film,reference_no_sequence_encoder,,False,False,0.900705,0.987496,0.982757,0.910575,0.777185,0.563656,0.52071,0.97456,88,81,39,1494,381866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint8b_sequence_context_seed42_20260612_220002_S8B_R1_sequence_only,S8B_R1_sequence_only,2,pure_s1_sequence_context_encoder,,,sprint8b,graph_c_context_observation,gatv2,S5F2_energy,weighted_bce,,none,sequence_only,64,True,False,0.900705052878966,0.8101725575399702,0.856666085132772,0.3041643990010692,0.4729018271910808,-0.019748539187977365,0.0,0.9960861056751468,0,169,6,1527,30593,30593,scheme_a,sprint2_main_seed42,42.0,measured_only,gatv2_graph_c_sprint8b_sequence_only,strict_inductive_primary,target_observation_context_encoder,validation_auprc,validation,validation_max_f1,validation,0.49817076325416565,1.0,16.0,,0.0,,,,,,,,,,,,,,64.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,"Sprint 8B sequence-only Graph C path: S1 guide/target one-hot pair reconstructed from Graph C node features, CRISPR-Net-adapted Conv+BiLSTM encoder, no context/message-passing/candidate-edge-feature signal, no external pretrained weights, no test-driven selection",1734.0,0.8713956170703575,0.8101725575399702,0.31115763919597095,0.9312788906009245,0.46563944530046225,0.0,0.0,1.0,0.0,223.0,0.0,1511.0,0.72,0.776,0.8888888888888888,0.011912640635340834,0.03176704169424222,0.04301786896095301,1702.0,0.9458036543821616,0.89,0.788,0.8888888888888888,0.006523157208088715,0.03913894324853229,0.08806262230919765,32.0,3.0,32.0,0.2
sprint8b_sequence_context_seed42_20260612_220002_S8B_R2_sequence_plus_context,S8B_R2_sequence_plus_context,3,late_fusion_s1_sequence_context_plus_s8a_r2_film,,,sprint8b,graph_c_context_observation,gatv2,S5F2_energy,weighted_bce,family_aware_experimental_emphasis,film,late_fusion,64,True,False,0.900705052878966,0.9884491265283344,0.9860197951127561,0.9034804324583039,0.7600577795833898,0.5673088150643012,0.863905325443787,0.8825831702544031,146,23,180,1353,412202,312105,scheme_a,sprint2_main_seed42,42.0,measured_only,gatv2_graph_c_sprint8b_sequence_plus_context,strict_inductive_primary,target_observation_context_encoder,validation_auprc,validation,validation_max_f1,validation,0.44672417640686035,3.0,18.0,s5f2_energy,268.0,True,4,True,0.2,0.0,False,True,False,False,,False,,0.0,64.0,xgboost_unweighted / F4,0.992522,0.938416,0.345198,graph_c_context_observation,sprint2_main_seed42,0.12674075365066528,True,True,observation_level_context_target,"graph_c_context_observation GATv2Conv path with dynamic attention; candidate edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection; Sprint 7D ablation: context_similar_to edges dropped, target_context_encoder=family_aware_experimental_emphasis, Sprint 8B late_fusion S1 seq_embed appended at classifier input; context path additive/frozen",1734.0,0.8713956170703575,0.9884491302797139,0.9332933673242262,0.9434473416864206,0.8095877485131132,0.62813937878632,0.7802690582959642,0.9219060225016545,174.0,49.0,118.0,1393.0,1.0,0.996,1.0,0.34811383189940437,0.8616810059563204,0.8901389808074123,1702.0,0.9302165692677896,1.0,0.992,1.0,0.28897586431833006,0.4142204827136334,0.857795172863666,32.0,3.0,32.0,0.2
