feature_index,feature_column,source_feature_name,target_context_family,family_expected_count,family_observed_count
163,feature__NuPoP_Viterbi_147_human_mean,NuPoP_Viterbi_147_human_mean,computed_nucleosome_aggregates,78,78
164,feature__NuPoP_Viterbi_147_human_std,NuPoP_Viterbi_147_human_std,computed_nucleosome_aggregates,78,78
165,feature__NuPoP_Viterbi_147_human_min,NuPoP_Viterbi_147_human_min,computed_nucleosome_aggregates,78,78
166,feature__NuPoP_Viterbi_147_human_max,NuPoP_Viterbi_147_human_max,computed_nucleosome_aggregates,78,78
167,feature__NuPoP_Viterbi_147_human_center,NuPoP_Viterbi_147_human_center,computed_nucleosome_aggregates,78,78
168,feature__NuPoP_Viterbi_147_human_pam_proximal_mean,NuPoP_Viterbi_147_human_pam_proximal_mean,computed_nucleosome_aggregates,78,78
169,feature__NuPoP_Viterbi_147_human_missing,NuPoP_Viterbi_147_human_missing,computed_nucleosome_missingness,13,13
170,feature__NuPoP_Affinity_147_human_mean,NuPoP_Affinity_147_human_mean,computed_nucleosome_aggregates,78,78
171,feature__NuPoP_Affinity_147_human_std,NuPoP_Affinity_147_human_std,computed_nucleosome_aggregates,78,78
172,feature__NuPoP_Affinity_147_human_min,NuPoP_Affinity_147_human_min,computed_nucleosome_aggregates,78,78
173,feature__NuPoP_Affinity_147_human_max,NuPoP_Affinity_147_human_max,computed_nucleosome_aggregates,78,78
174,feature__NuPoP_Affinity_147_human_center,NuPoP_Affinity_147_human_center,computed_nucleosome_aggregates,78,78
175,feature__NuPoP_Affinity_147_human_pam_proximal_mean,NuPoP_Affinity_147_human_pam_proximal_mean,computed_nucleosome_aggregates,78,78
176,feature__NuPoP_Affinity_147_human_missing,NuPoP_Affinity_147_human_missing,computed_nucleosome_missingness,13,13
177,feature__nuCpos_Occup_147_yeast_mean,nuCpos_Occup_147_yeast_mean,computed_nucleosome_aggregates,78,78
178,feature__nuCpos_Occup_147_yeast_std,nuCpos_Occup_147_yeast_std,computed_nucleosome_aggregates,78,78
179,feature__nuCpos_Occup_147_yeast_min,nuCpos_Occup_147_yeast_min,computed_nucleosome_aggregates,78,78
180,feature__nuCpos_Occup_147_yeast_max,nuCpos_Occup_147_yeast_max,computed_nucleosome_aggregates,78,78
181,feature__nuCpos_Occup_147_yeast_center,nuCpos_Occup_147_yeast_center,computed_nucleosome_aggregates,78,78
182,feature__nuCpos_Occup_147_yeast_pam_proximal_mean,nuCpos_Occup_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,78,78
183,feature__nuCpos_Occup_147_yeast_missing,nuCpos_Occup_147_yeast_missing,computed_nucleosome_missingness,13,13
184,feature__nuCpos_Viterbi_147_yeast_mean,nuCpos_Viterbi_147_yeast_mean,computed_nucleosome_aggregates,78,78
185,feature__nuCpos_Viterbi_147_yeast_std,nuCpos_Viterbi_147_yeast_std,computed_nucleosome_aggregates,78,78
186,feature__nuCpos_Viterbi_147_yeast_min,nuCpos_Viterbi_147_yeast_min,computed_nucleosome_aggregates,78,78
187,feature__nuCpos_Viterbi_147_yeast_max,nuCpos_Viterbi_147_yeast_max,computed_nucleosome_aggregates,78,78
188,feature__nuCpos_Viterbi_147_yeast_center,nuCpos_Viterbi_147_yeast_center,computed_nucleosome_aggregates,78,78
189,feature__nuCpos_Viterbi_147_yeast_pam_proximal_mean,nuCpos_Viterbi_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,78,78
190,feature__nuCpos_Viterbi_147_yeast_missing,nuCpos_Viterbi_147_yeast_missing,computed_nucleosome_missingness,13,13
191,feature__nuCpos_Affinity_147_yeast_mean,nuCpos_Affinity_147_yeast_mean,computed_nucleosome_aggregates,78,78
192,feature__nuCpos_Affinity_147_yeast_std,nuCpos_Affinity_147_yeast_std,computed_nucleosome_aggregates,78,78
193,feature__nuCpos_Affinity_147_yeast_min,nuCpos_Affinity_147_yeast_min,computed_nucleosome_aggregates,78,78
194,feature__nuCpos_Affinity_147_yeast_max,nuCpos_Affinity_147_yeast_max,computed_nucleosome_aggregates,78,78
195,feature__nuCpos_Affinity_147_yeast_center,nuCpos_Affinity_147_yeast_center,computed_nucleosome_aggregates,78,78
196,feature__nuCpos_Affinity_147_yeast_pam_proximal_mean,nuCpos_Affinity_147_yeast_pam_proximal_mean,computed_nucleosome_aggregates,78,78
197,feature__nuCpos_Affinity_147_yeast_missing,nuCpos_Affinity_147_yeast_missing,computed_nucleosome_missingness,13,13
198,feature__VanDerHeijden_mean,VanDerHeijden_mean,computed_nucleosome_aggregates,78,78
199,feature__VanDerHeijden_std,VanDerHeijden_std,computed_nucleosome_aggregates,78,78
200,feature__VanDerHeijden_min,VanDerHeijden_min,computed_nucleosome_aggregates,78,78
201,feature__VanDerHeijden_max,VanDerHeijden_max,computed_nucleosome_aggregates,78,78
202,feature__VanDerHeijden_center,VanDerHeijden_center,computed_nucleosome_aggregates,78,78
203,feature__VanDerHeijden_pam_proximal_mean,VanDerHeijden_pam_proximal_mean,computed_nucleosome_aggregates,78,78
204,feature__VanDerHeijden_missing,VanDerHeijden_missing,computed_nucleosome_missingness,13,13
205,feature__LeNupH3Q85C_mean,LeNupH3Q85C_mean,computed_nucleosome_aggregates,78,78
206,feature__LeNupH3Q85C_std,LeNupH3Q85C_std,computed_nucleosome_aggregates,78,78
207,feature__LeNupH3Q85C_min,LeNupH3Q85C_min,computed_nucleosome_aggregates,78,78
208,feature__LeNupH3Q85C_max,LeNupH3Q85C_max,computed_nucleosome_aggregates,78,78
209,feature__LeNupH3Q85C_center,LeNupH3Q85C_center,computed_nucleosome_aggregates,78,78
210,feature__LeNupH3Q85C_pam_proximal_mean,LeNupH3Q85C_pam_proximal_mean,computed_nucleosome_aggregates,78,78
211,feature__LeNupH3Q85C_missing,LeNupH3Q85C_missing,computed_nucleosome_missingness,13,13
