run_id,run_order,predeclared_run_id,role,controlled_variable,source_run_id,sprint,label_scheme,split_id,seed,training_regime,model_name,architecture,feature_set,graph_schema,visibility_policy,target_node_representation,loss,checkpoint_policy,checkpoint_selection_split,threshold_policy,threshold_selection_split,edge_feature_sets,edge_feature_columns,edge_aware_attention,attention_heads,attention_concat,attention_dropout,self_loop_edge_fill,gatv2_share_weights,parameter_count,baseline_reference,baseline_test_auprc,baseline_test_auroc,baseline_test_mcc,weighted_bce_pos_weight,test_positive_rate,test_auprc,test_auroc,test_macro_f1,test_mcc,test_specificity,test_sensitivity,test_tn,test_fp,test_fn,test_tp,notes,sprint6_reference_test_auprc,sprint6_reference_test_mcc,prior_test_positive_prevalence,threshold,best_epoch,epochs_ran,best_val_auprc,graph_artifact_manifest_schema,graph_artifact_split_id,use_compile,use_amp,target_semantics,val_rows,val_positive_rate,val_auprc,val_auroc,val_f1,val_macro_f1,val_mcc,val_specificity,val_sensitivity,val_tn,val_fp,val_fn,val_tp,val_precision_at_100,val_precision_at_500,val_precision_at_top_1pct,val_recall_at_fpr_1pct,val_recall_at_fpr_5pct,val_recall_at_fpr_10pct,test_rows,test_f1,test_precision_at_100,test_precision_at_500,test_precision_at_top_1pct,test_recall_at_fpr_1pct,test_recall_at_fpr_5pct,test_recall_at_fpr_10pct
sprint7_gat_gatv2_seed42_20260607_153444_S7R0_gcn_reference,0,S7R0_gcn_reference,sprint6_weighted_bce_reference_no_retrain,model_architecture,sprint6_loss_comparison_seed42_20260606_182812_S6R0_wbce,sprint7,scheme_a,sprint2_main_seed42,42,measured_only,gcn_graph_a_sprint6_reference,gcn,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,,,,,,,,xgboost_unweighted / F4,0.992522,0.938416,0.345198,0.1267407536506652,0.900705052878966,0.9769354874465136,0.81997244062576,0.698938679245283,0.4837190779130979,0.2899408284023668,0.9960861056751468,49,120,6,1527,Existing Sprint 6 S6R0 weighted-BCE GCN reference; not retrained in Sprint 7 runner.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sprint7_gat_gatv2_seed42_20260607_153444_S7R1_gat_edge_aware,1,S7R1_gat_edge_aware,edge_aware_gat_tests_sprint6_architecture_hypothesis,model_architecture,,sprint7,scheme_a,sprint2_main_seed42,42,measured_only,gat_graph_a_sprint7_edge_aware,gat,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4,True,0.2,0.0,,217985,xgboost_unweighted / F4,0.992522,0.938416,0.345198,0.12674075365066528,0.900705052878966,0.950763411992072,0.6739502155729764,0.48147641134660396,-0.016850095423773925,0.1834319526627219,0.7938682322243966,31,138,316,1217,Graph A GATConv path; S5F2 edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection,0.976935,0.483719,0.900705,0.11454705893993378,52.0,67.0,0.9482745498496272,graph_a_minimal_physical_target,sprint2_main_seed42,True,True,minimal_physical_target,1734.0,0.8713956170703575,0.9482745498496272,0.7574587553753788,0.9372011475932419,0.671017492225624,0.37859469519465755,0.3004484304932735,0.9728656518861681,67.0,156.0,41.0,1470.0,0.99,0.968,1.0,0.08868299139642621,0.3044341495698213,0.3553937789543349,1702.0,0.842797783933518,0.97,0.984,1.0,0.04044357469015003,0.34442270058708413,0.410958904109589
sprint7_gat_gatv2_seed42_20260607_153444_S7R2_gatv2_edge_aware,2,S7R2_gatv2_edge_aware,edge_aware_gatv2_dynamic_attention_variant,model_architecture,,sprint7,scheme_a,sprint2_main_seed42,42,measured_only,gatv2_graph_a_sprint7_edge_aware,gatv2,S5F2_energy,graph_a_minimal_physical_target,strict_inductive_primary,zero_type_feature,weighted_bce,validation_auprc,validation,validation_max_f1,validation,s5f2_energy,268,True,4,True,0.2,0.0,False,250753,xgboost_unweighted / F4,0.992522,0.938416,0.345198,0.12674075365066528,0.900705052878966,0.9654486492958971,0.8182818235505274,0.6271279826521121,0.29136710825831735,0.21893491124260356,0.9771689497716894,37,132,35,1498,Graph A GATv2Conv path with dynamic attention; S5F2 edge features enter attention via edge_attr/edge_dim when edge_aware_attention=True; self-loop edge features are zero-filled; no test-driven selection,0.976935,0.483719,0.900705,0.14215846359729767,20.0,35.0,0.9843234080330381,graph_a_minimal_physical_target,sprint2_main_seed42,True,True,minimal_physical_target,1734.0,0.8713956170703575,0.9843234080330381,0.9222354452994928,0.9392302498311952,0.7917495122673763,0.590185077705226,0.7309417040358744,0.9205823957643945,163.0,60.0,120.0,1391.0,0.99,0.992,1.0,0.0814030443414957,0.8663136995367307,0.884844473858372,1702.0,0.9472020233955106,0.93,0.984,1.0,0.012393998695368558,0.36268754076973253,0.5649054142204827
