run_id,predeclared_run_id,score_decile,rows,positives,positive_rate,mean_score
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,7,170,170,1.0,0.44203929199891934
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,8,170,159,0.9352941176470588,0.29485610653372374
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,9,170,118,0.6941176470588235,0.15425852984189986
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R3_gated_plus_film,S8A_R3_gated_plus_film,10,171,80,0.4678362573099415,0.05779936342167924
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,1,171,171,1.0,0.9877336624770137
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,2,170,166,0.9764705882352941,0.9641209423542023
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,3,170,167,0.9823529411764705,0.9280622811878428
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,4,170,170,1.0,0.809900021202424
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,5,170,168,0.9882352941176471,0.5943403293104733
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,6,170,162,0.9529411764705882,0.4545676580246757
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,7,170,126,0.7411764705882353,0.3201632057919222
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,8,170,145,0.8529411764705882,0.21960026385153042
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,9,170,162,0.9529411764705882,0.17901672589428286
sprint8a_target_context_interaction_seed42_20260611_011416_S8A_R4_regularized_exp_branch,S8A_R4_regularized_exp_branch,10,171,96,0.5614035087719298,0.10507247813743109
