model_name,graph_schema,feature_set,split,threshold,threshold_selection_split,rows,positive_rate,f1,mcc,tn,fp,fn,tp
gcn_graph_a,graph_a_minimal_physical_target,S1_pair+F1,test,0.10961122065782547,validation,1702,0.900705052878966,0.9518449030644153,0.3007805554282674,26,143,11,1522
gcn_graph_a,graph_a_minimal_physical_target,S1_pair+F1,val,0.10961122065782547,validation,1734,0.8713956170703575,0.9390547263681592,0.32604795243529433,28,195,1,1510
